Name,Year,Certificate,Runtime,Genres,Director,Stars,Ratings,Metascore,Votes
Black Panther: Wakanda Forever,2022,PG-13,161 min,"Action, Adventure, Drama",Ryan Coogler,"Letitia Wright,Lupita Nyong'o,Danai Gurira,Winston Duke",7.3,67,89766
Black Adam,2022,PG-13,125 min,"Action, Adventure, Fantasy",Jaume Collet-Serra,"Dwayne Johnson,Aldis Hodge,Pierce Brosnan,Noah Centineo",6.8,41,131655
Disenchanted,2022,PG,119 min,"Animation, Adventure, Comedy",Adam Shankman,"Amy Adams,Patrick Dempsey,Maya Rudolph,Gabriella Baldacchino",5.8,50,8571
Enola Holmes 2,2022,PG-13,129 min,"Action, Adventure, Crime",Harry Bradbeer,"Millie Bobby Brown,Henry Cavill,David Thewlis,Louis Partridge",6.8,64,48755
Black Panther,2018,PG-13,134 min,"Action, Adventure, Sci-Fi",Ryan Coogler,"Chadwick Boseman,Michael B. Jordan,Lupita Nyong'o,Danai Gurira",7.3,88,763886
Slumberland,2022,PG,117 min,"Adventure, Comedy, Family",Francis Lawrence,"Jason Momoa,Marlow Barkley,Chris O'Dowd,Kyle Chandler",6.7,39,6677
Enola Holmes,2020,PG-13,123 min,"Action, Adventure, Crime",Harry Bradbeer,"Millie Bobby Brown,Henry Cavill,Sam Claflin,Helena Bonham Carter",6.6,68,186727
Avatar: The Way of Water,2022,PG-13,190 min,"Action, Adventure, Fantasy",James Cameron,"Zoe Saldana,Kate Winslet,Sigourney Weaver,Sam Worthington",,,
Enchanted,2007,PG,107 min,"Animation, Adventure, Comedy",Kevin Lima,"Amy Adams,Susan Sarandon,James Marsden,Patrick Dempsey",7.1,75,202415
Elemental,2023,,93 min,"Animation, Adventure, Comedy",Peter Sohn,"Leah Lewis,Mamoudou Athie",,,
Everything Everywhere All at Once,2022,R,139 min,"Action, Adventure, Comedy",Dan Kwan,"Daniel Scheinert,Michelle Yeoh,Stephanie Hsu,Jamie Lee Curtis,Ke Huy Quan",8.1,81,239632
Thor: Love and Thunder,2022,PG-13,118 min,"Action, Adventure, Comedy",Taika Waititi,"Chris Hemsworth,Natalie Portman,Christian Bale,Tessa Thompson",6.3,57,311944
Kantara,2022,,148 min,"Action, Adventure, Drama",Rishab Shetty,"Rishab Shetty,Sapthami Gowda,Kishore Kumar G.,Achyuth Kumar",9,,68626
The Bad Guys,2022,PG,100 min,"Animation, Adventure, Comedy",Pierre Perifel,"Sam Rockwell,Marc Maron,Awkwafina,Craig Robinson",6.8,64,38306
The Northman,2022,R,137 min,"Action, Adventure, Drama",Robert Eggers,"Alexander Skarsgård,Nicole Kidman,Claes Bang,Ethan Hawke",7.1,82,190603
