Name,Year,Certificate,Runtime,Genres,Director,Stars,Ratings,Metascore,Votes
Disenchanted,2022,PG,119 min,"Animation, Adventure, Comedy",Adam Shankman,"Amy Adams,Patrick Dempsey,Maya Rudolph,Gabriella Baldacchino",5.8,50,8571
Enchanted,2007,PG,107 min,"Animation, Adventure, Comedy",Kevin Lima,"Amy Adams,Susan Sarandon,James Marsden,Patrick Dempsey",7.1,75,202415
Elemental,2023,,93 min,"Animation, Adventure, Comedy",Peter Sohn,"Leah Lewis,Mamoudou Athie",,,
The Bad Guys,2022,PG,100 min,"Animation, Adventure, Comedy",Pierre Perifel,"Sam Rockwell,Marc Maron,Awkwafina,Craig Robinson",6.8,64,38306
Strange World,2022,PG,102 min,"Animation, Action, Adventure",Don Hall,"Qui Nguyen,Jake Gyllenhaal,Jaboukie Young-White,Gabrielle Union,Dennis Quaid",5.8,66,903
Guillermo del Toro's Pinocchio,II 2022,PG,117 min,"Animation, Drama, Family",Guillermo del Toro,"Mark Gustafson,Gregory Mann,Ewan McGregor,Ron Perlman,Finn Wolfhard",8,85,1038
One Piece Film: Red,2022,PG-13,115 min,"Animation, Action, Adventure",Gorô Taniguchi,"Mayumi Tanaka,Kazuya Nakai,Akemi Okamura,Kappei Yamaguchi",6.9,69,6929
Wendell & Wild,2022,PG-13,105 min,"Animation, Adventure, Comedy",Henry Selick,"Lyric Ross,Keegan-Michael Key,Jordan Peele,Angela Bassett",6.5,69,6627
Puss in Boots: The Last Wish,2022,PG,100 min,"Animation, Adventure, Comedy",Joel Crawford,"Januel Mercado,Antonio Banderas,Salma Hayek,Harvey Guillén,Florence Pugh",,,
"Lyle, Lyle, Crocodile",2022,PG,106 min,"Animation, Adventure, Comedy",Josh Gordon,"Will Speck,Javier Bardem,Winslow Fegley,Shawn Mendes,Constance Wu",6.2,51,3013
Sing 2,2021,PG,110 min,"Animation, Adventure, Comedy",Garth Jennings,"Christophe Lourdelet,Matthew McConaughey,Reese Witherspoon,Scarlett Johansson,Tori Kelly",7.4,49,68328
DC League of Super-Pets,2022,PG,105 min,"Animation, Action, Adventure",Jared Stern,"Sam J. Levine,Dwayne Johnson,Kevin Hart,Kate McKinnon,John Krasinski",7.3,56,61179
My Father's Dragon,2022,PG,99 min,"Animation, Adventure, Comedy",Nora Twomey,"Judy Greer,Jacob Tremblay,Charlyne Yi,Ian McShane",6.6,74,1054
The Super Mario Bros. Movie,2023,PG,,"Animation, Adventure, Comedy",Aaron Horvath,"Michael Jelenic,Chris Pratt,Anya Taylor-Joy,Charlie Day,Jack Black",,,
Zootopia,2016,PG,108 min,"Animation, Adventure, Comedy",Byron Howard,"Rich Moore,Jared Bush,Ginnifer Goodwin,Jason Bateman,Idris Elba,Jenny Slate",8,78,498020
Encanto,2021,PG,102 min,"Animation, Comedy, Family",Jared Bush,"Byron Howard,Charise Castro Smith,Stephanie Beatriz,María Cecilia Botero,John Leguizamo,Mauro Castillo",7.2,75,218905
The Polar Express,2004,G,100 min,"Animation, Adventure, Comedy",Robert Zemeckis,"Tom Hanks,Chris Coppola,Michael Jeter,Leslie Zemeckis",6.6,61,208463
The Nightmare Before Christmas,1993,PG,76 min,"Animation, Family, Fantasy",Henry Selick,"Danny Elfman,Chris Sarandon,Catherine O'Hara,William Hickey",7.9,82,339627
The Grinch,2018,PG,85 min,"Animation, Comedy, Family",Yarrow Cheney,"Scott Mosier,Benedict Cumberbatch,Cameron Seely,Rashida Jones,Pharrell Williams",6.3,51,71040
Sing,2016,PG,108 min,"Animation, Comedy, Family",Garth Jennings,"Christophe Lourdelet,Matthew McConaughey,Reese Witherspoon,Seth MacFarlane,Scarlett Johansson",7.1,59,171121
Spider-Man: Into the Spider-Verse,2018,PG,117 min,"Animation, Action, Adventure",Bob Persichetti,"Peter Ramsey,Rodney Rothman,Shameik Moore,Jake Johnson,Hailee Steinfeld,Mahershala Ali",8.4,87,523862
Minions: The Rise of Gru,2022,PG,87 min,"Animation, Adventure, Comedy",Kyle Balda,"Brad Ableson,Jonathan del Val,Steve Carell,Pierre Coffin,Alan Arkin,Taraji P. Henson",6.6,56,61617
Spirited Away,2001,PG,125 min,"Animation, Adventure, Family",Hayao Miyazaki,"Daveigh Chase,Suzanne Pleshette,Miyu Irino,Rumi Hiiragi",8.6,96,759093
The Lion King,1994,G,88 min,"Animation, Adventure, Drama",Roger Allers,"Rob Minkoff,Matthew Broderick,Jeremy Irons,James Earl Jones,Whoopi Goldberg",8.5,88,1053376
The Soccer Football Movie,2022,TV-Y7,73 min,"Animation, Comedy, Family",Mitch Schauer,"Zlatan Ibrahimovic,Megan Rapinoe,'Weird Al' Yankovic,Rob Stone",3.1,,516
Lightyear,2022,PG,100 min,"Animation, Action, Adventure",Angus MacLane,"Chris Evans,Keke Palmer,Peter Sohn,Taika Waititi",6,60,101631
Cars,2006,G,117 min,"Animation, Adventure, Comedy",John Lasseter,"Joe Ranft,Owen Wilson,Bonnie Hunt,Paul Newman,Larry the Cable Guy",7.2,73,422146
Coco,I 2017,PG,105 min,"Animation, Adventure, Comedy",Lee Unkrich,"Adrian Molina,Anthony Gonzalez,Gael García Bernal,Benjamin Bratt,Alanna Ubach",8.4,81,504287
Ratatouille,2007,G,111 min,"Animation, Adventure, Comedy",Brad Bird,"Jan Pinkava,Brad Garrett,Lou Romano,Patton Oswalt,Ian Holm",8.1,96,733637
Frozen,I 2013,PG,102 min,"Animation, Adventure, Comedy",Chris Buck,"Jennifer Lee,Kristen Bell,Idina Menzel,Jonathan Groff,Josh Gad",7.4,75,624195
Entergalactic,2022,TV-MA,93 min,"Animation, Comedy, Music",Fletcher Moules,"Kid Cudi,Jessica Williams,Laura Harrier,Ty Dolla $ign",7.4,,8243
Coraline,2009,PG,100 min,"Animation, Drama, Family",Henry Selick,"Dakota Fanning,Teri Hatcher,John Hodgman,Jennifer Saunders",7.7,80,230845
Moana,I 2016,PG,107 min,"Animation, Adventure, Comedy",Ron Clements,"John Musker,Don Hall,Chris Williams,Auli'i Cravalho,Dwayne Johnson,Rachel House,Temuera Morrison",7.6,81,335717
Luck,I 2022,G,105 min,"Animation, Adventure, Comedy",Peggy Holmes,"Javier Abad,Eva Noblezada,Simon Pegg,Jane Fonda,Whoopi Goldberg",6.4,48,17934
Your Name.,2016,PG,106 min,"Animation, Drama, Fantasy",Makoto Shinkai,"Ryûnosuke Kamiki,Mone Kamishiraishi,Ryô Narita,Aoi Yûki",8.4,79,267175
Toy Story,1995,G,81 min,"Animation, Adventure, Comedy",John Lasseter,"Tom Hanks,Tim Allen,Don Rickles,Jim Varney",8.3,95,990210
Spider-Man: Across the Spider-Verse,2023,,,"Animation, Action, Adventure",Joaquim Dos Santos,"Kemp Powers,Justin K. Thompson,Shameik Moore,Hailee Steinfeld,Oscar Isaac,Jake Johnson",,,
Inside Out,I 2015,PG,95 min,"Animation, Adventure, Comedy",Pete Docter,"Ronnie Del Carmen,Amy Poehler,Bill Hader,Lewis Black,Mindy Kaling",8.2,94,710960
Shrek,2001,PG,90 min,"Animation, Adventure, Comedy",Andrew Adamson,"Vicky Jenson,Mike Myers,Eddie Murphy,Cameron Diaz,John Lithgow",7.9,84,675884
Klaus,2019,PG,96 min,"Animation, Adventure, Comedy",Sergio Pablos,"Carlos Martínez López,Jason Schwartzman,J.K. Simmons,Rashida Jones,Will Sasso",8.1,65,149316
Turning Red,2022,PG,100 min,"Animation, Adventure, Comedy",Domee Shi,"Rosalie Chiang,Sandra Oh,Ava Morse,Hyein Park",7,83,119073
Fantastic Mr. Fox,2009,PG,87 min,"Animation, Adventure, Comedy",Wes Anderson,"George Clooney,Meryl Streep,Bill Murray,Jason Schwartzman",7.9,83,232844
Suzume no tojimari,2021,,122 min,"Animation, Action, Adventure",Makoto Shinkai,"Nanoka Hara,Hokuto Matsumura,Eri Fukatsu,Kôshirô Matsumoto",8,,423
WALL·E,2008,G,98 min,"Animation, Adventure, Family",Andrew Stanton,"Ben Burtt,Elissa Knight,Jeff Garlin,Fred Willard",8.4,95,1111584
The Lion King,2019,PG,118 min,"Animation, Adventure, Drama",Jon Favreau,"Donald Glover,Beyoncé,Seth Rogen,Chiwetel Ejiofor",6.8,55,245327
