Name,Year,Certificate,Runtime,Genres,Director,Stars,Ratings,Metascore,Votes
Weird: The Al Yankovic Story,2022,TV-14,108 min,"Biography, Comedy, Music",Eric Appel,"Diedrich Bader,Daniel Radcliffe,Lin-Manuel Miranda,Richard Aaron Anderson",7.1,70,16861
The Good Nurse,2022,R,121 min,"Biography, Crime, Drama",Tobias Lindholm,"Eddie Redmayne,Jessica Chastain,Denise Pillott,Dartel McRae",6.8,65,40865
Emily,2022,R,130 min,"Biography, Drama, Romance",Frances O'Connor,"Emma Mackey,Oliver Jackson-Cohen,Fionn Whitehead,Alexandra Dowling",6.9,77,1431
Lamborghini: The Man Behind the Legend,2022,R,97 min,"Biography, Drama, Sport",Bobby Moresco,"Frank Grillo,Mira Sorvino,Eliana Jones,Gabriel Byrne",5.1,,1313
Chariots of Fire,1981,PG,125 min,"Biography, Drama, Sport",Hugh Hudson,"Ben Cross,Ian Charleson,Nicholas Farrell,Nigel Havers",7.1,78,61157
Elvis,2022,PG-13,159 min,"Biography, Drama, Music",Baz Luhrmann,"Tom Hanks,Austin Butler,Olivia DeJonge,Helen Thomson",7.4,64,146132
The Wolf of Wall Street,2013,R,180 min,"Biography, Comedy, Crime",Martin Scorsese,"Leonardo DiCaprio,Jonah Hill,Margot Robbie,Matthew McConaughey",8.2,75,1397802
Blonde,2022,NC-17,167 min,"Biography, Drama, Romance",Andrew Dominik,"Ana de Armas,Lily Fisher,Julianne Nicholson,Tygh Runyan",5.5,50,49595
Goodfellas,1990,R,145 min,"Biography, Crime, Drama",Martin Scorsese,"Robert De Niro,Ray Liotta,Joe Pesci,Lorraine Bracco",8.7,90,1154584
DAMaN,2022,,121 min,"Adventure, Biography, Drama",Prasad Lenka Debi,"Vishal Mourya,Udit Bhanu,Dipanwit Dashmohapatra,Vaibhav Gohil,Babushan Mohanty",9.4,,10488
Oppenheimer,2023,,,"Biography, Drama, History",Christopher Nolan,"Florence Pugh,Emily Blunt,Cillian Murphy,Emma Dumont",,,
Schindler's List,1993,R,195 min,"Biography, Drama, History",Steven Spielberg,"Liam Neeson,Ralph Fiennes,Ben Kingsley,Caroline Goodall",9,94,1349021
Till,2022,PG-13,130 min,"Biography, Drama, History",Chinonye Chukwu,"Danielle Deadwyler,Jalyn Hall,Frankie Faison,Haley Bennett",7.4,79,2293
