Name,Year,Certificate,Runtime,Genres,Director,Stars,Ratings,Metascore,Votes
The Menu,2022,R,107 min,"Comedy, Horror, Thriller",Mark Mylod,"Ralph Fiennes,Anya Taylor-Joy,Nicholas Hoult,Hong Chau",7.6,71,14657
Disenchanted,2022,PG,119 min,"Animation, Adventure, Comedy",Adam Shankman,"Amy Adams,Patrick Dempsey,Maya Rudolph,Gabriella Baldacchino",5.8,50,8571
Falling for Christmas,2022,TV-PG,93 min,"Comedy, Romance",Janeen Damian,"Lindsay Lohan,Chord Overstreet,George Young,Jack Wagner",5.3,39,10642
Spirited,2022,PG-13,127 min,"Comedy, Family, Musical",Sean Anders,"Will Ferrell,Ryan Reynolds,Octavia Spencer,Patrick Page",6.6,55,8617
A Christmas Story Christmas,2022,PG,98 min,"Comedy, Family",Clay Kaytis,"Peter Billingsley,Erinn Hayes,River Drosche,Julianna Layne",7,56,3433
Weird: The Al Yankovic Story,2022,TV-14,108 min,"Biography, Comedy, Music",Eric Appel,"Diedrich Bader,Daniel Radcliffe,Lin-Manuel Miranda,Richard Aaron Anderson",7.1,70,16861
Amsterdam,2022,R,134 min,"Comedy, Drama, History",David O. Russell,"Christian Bale,Margot Robbie,John David Washington,Alessandro Nivola",6.1,48,24016
Bullet Train,2022,R,127 min,"Action, Comedy, Thriller",David Leitch,"Brad Pitt,Joey King,Aaron Taylor-Johnson,Brian Tyree Henry",7.3,49,182810
The Banshees of Inisherin,2022,R,114 min,"Comedy, Drama",Martin McDonagh,"Colin Farrell,Brendan Gleeson,Kerry Condon,Barry Keoghan",8.2,87,14611
A Christmas Story,1983,PG,93 min,"Comedy, Family",Bob Clark,"Peter Billingsley,Melinda Dillon,Darren McGavin,Scott Schwartz",7.9,77,149902
Slumberland,2022,PG,117 min,"Adventure, Comedy, Family",Francis Lawrence,"Jason Momoa,Marlow Barkley,Chris O'Dowd,Kyle Chandler",6.7,39,6677
Glass Onion: A Knives Out Mystery,2022,PG-13,140 min,"Comedy, Crime, Drama",Rian Johnson,"Daniel Craig,Edward Norton,Kate Hudson,Dave Bautista",8.1,81,2915
See How They Run,2022,PG-13,98 min,"Comedy, Mystery",Tom George,"Kieran Hodgson,Pearl Chanda,Gregory Cox,Harris Dickinson",6.5,60,28482
"Monica, O My Darling",2022,TV-MA,129 min,"Comedy, Crime, Drama",Vasan Bala,"Rajkummar Rao,Huma Qureshi,Sikandar Kher,Akansha Ranjan Kapoor",7.6,,8688
Enchanted,2007,PG,107 min,"Animation, Adventure, Comedy",Kevin Lima,"Amy Adams,Susan Sarandon,James Marsden,Patrick Dempsey",7.1,75,202415
R.I.P.D. 2: Rise of the Damned,2022,PG-13,102 min,"Action, Comedy",Paul Leyden,"Jeffrey Donovan,Rachel Adedeji,Penelope Mitchell,Evlyne Oyedokun",4.5,,1477
Ticket to Paradise,2022,PG-13,104 min,"Comedy, Romance",Ol Parker,"George Clooney,Sean Lynch,Julia Roberts,Arielle Carver-O'Neill",6.2,50,24807
Elemental,2023,,93 min,"Animation, Adventure, Comedy",Peter Sohn,"Leah Lewis,Mamoudou Athie",,,
Everything Everywhere All at Once,2022,R,139 min,"Action, Adventure, Comedy",Dan Kwan,"Daniel Scheinert,Michelle Yeoh,Stephanie Hsu,Jamie Lee Curtis,Ke Huy Quan",8.1,81,239632
Babylon,I 2022,,188 min,"Comedy, Drama, History",Damien Chazelle,"Brad Pitt,Margot Robbie,Jean Smart,Olivia Wilde",,,
Triangle of Sadness,2022,R,147 min,"Comedy, Drama",Ruben Östlund,"Harris Dickinson,Charlbi Dean,Woody Harrelson,Zlatko Buric",7.8,63,19859
Thor: Love and Thunder,2022,PG-13,118 min,"Action, Adventure, Comedy",Taika Waititi,"Chris Hemsworth,Natalie Portman,Christian Bale,Tessa Thompson",6.3,57,311944
Magic Mike's Last Dance,2023,,,"Comedy, Drama",Steven Soderbergh,"Channing Tatum,Salma Hayek,Caitlin Gerard,Nancy Carroll",,,
Violent Night,2022,R,101 min,"Action, Comedy, Crime",Tommy Wirkola,"Beverly D'Angelo,David Harbour,John Leguizamo,Cam Gigandet",,,
The School for Good and Evil,2022,PG-13,147 min,"Action, Comedy, Drama",Paul Feig,"Kit Young,Sophia Anne Caruso,Cate Blanchett,Liam Woon",5.8,30,22689
The People We Hate at the Wedding,2022,R,99 min,Comedy,Claire Scanlon,"Allison Janney,Ben Platt,Cynthia Addai-Robinson,Kristen Bell",5.7,37,2290
The Bad Guys,2022,PG,100 min,"Animation, Adventure, Comedy",Pierre Perifel,"Sam Rockwell,Marc Maron,Awkwafina,Craig Robinson",6.8,64,38306
Strange World,2022,PG,102 min,"Animation, Action, Adventure",Don Hall,"Qui Nguyen,Jake Gyllenhaal,Jaboukie Young-White,Gabrielle Union,Dennis Quaid",5.8,66,903
Home Alone,1990,PG,103 min,"Comedy, Family",Chris Columbus,"Macaulay Culkin,Joe Pesci,Daniel Stern,John Heard",7.7,63,566706
Knives Out,2019,PG-13,130 min,"Comedy, Crime, Drama",Rian Johnson,"Daniel Craig,Chris Evans,Ana de Armas,Jamie Lee Curtis",7.9,82,622745
Christmas with You,2022,TV-PG,89 min,"Comedy, Family, Romance",Gabriela Tagliavini,"Aimee Garcia,Freddie Prinze Jr.,Deja Monique Cruz,Gabriel Sloyer",5.6,32,2225
Christmas Vacation,1989,PG-13,97 min,Comedy,Jeremiah S. Chechik,"Chevy Chase,Beverly D'Angelo,Juliette Lewis,Johnny Galecki",7.5,49,188625
The Santa Clause,1994,PG,97 min,"Comedy, Drama, Family",John Pasquin,"Tim Allen,Judge Reinhold,Wendy Crewson,Eric Lloyd",6.5,57,117334
Once Upon a Time in Hollywood,2019,R,161 min,"Comedy, Drama",Quentin Tarantino,"Leonardo DiCaprio,Brad Pitt,Margot Robbie,Emile Hirsch",7.6,83,730262
The Wolf of Wall Street,2013,R,180 min,"Biography, Comedy, Crime",Martin Scorsese,"Leonardo DiCaprio,Jonah Hill,Margot Robbie,Matthew McConaughey",8.2,75,1397802
The Lost City,2022,PG-13,112 min,"Action, Adventure, Comedy",Aaron Nee,"Adam Nee,Sandra Bullock,Channing Tatum,Daniel Radcliffe,Da'Vine Joy Randolph",6.1,60,115882
Ant-Man and the Wasp: Quantumania,2023,,,"Action, Adventure, Comedy",Peyton Reed,"Paul Rudd,Evangeline Lilly,Jonathan Majors,Kathryn Newton",,,
Elf,2003,PG,97 min,"Adventure, Comedy, Family",Jon Favreau,"Will Ferrell,James Caan,Bob Newhart,Zooey Deschanel",7,64,267781
Mrs. Harris Goes to Paris,2022,PG,115 min,"Comedy, Drama",Anthony Fabian,"Lesley Manville,Isabelle Huppert,Lambert Wilson,Alba Baptista",7.1,70,9418
Wendell & Wild,2022,PG-13,105 min,"Animation, Adventure, Comedy",Henry Selick,"Lyric Ross,Keegan-Michael Key,Jordan Peele,Angela Bassett",6.5,69,6627
The Unbearable Weight of Massive Talent,2022,R,107 min,"Action, Comedy, Crime",Tom Gormican,"Nicolas Cage,Pedro Pascal,Tiffany Haddish,Sharon Horgan",7,68,82888
The Terminal,2004,PG-13,128 min,"Comedy, Drama, Romance",Steven Spielberg,"Tom Hanks,Catherine Zeta-Jones,Chi McBride,Stanley Tucci",7.4,55,460040
Barbie,2023,,,"Adventure, Comedy, Fantasy",Greta Gerwig,"Margot Robbie,Ryan Gosling,Will Ferrell,Emma Mackey",,,
Bardo: False Chronicle of a Handful of Truths,2022,R,159 min,"Comedy, Drama",Alejandro G. Iñárritu,"Daniel Giménez Cacho,Griselda Siciliani,Ximena Lamadrid,Íker Sánchez Solano",7.5,53,2147
Puss in Boots: The Last Wish,2022,PG,100 min,"Animation, Adventure, Comedy",Joel Crawford,"Januel Mercado,Antonio Banderas,Salma Hayek,Harvey Guillén,Florence Pugh",,,
How the Grinch Stole Christmas,2000,PG,104 min,"Comedy, Family, Fantasy",Ron Howard,"Jim Carrey,Taylor Momsen,Kelley,Jeffrey Tambor",6.2,46,247190
"Confess, Fletch",2022,R,98 min,"Comedy, Crime",Greg Mottola,"Jon Hamm,Caitlin Zerra Rose,Roy Wood Jr.,Ayden Mayeri",6.5,64,7270
"Lyle, Lyle, Crocodile",2022,PG,106 min,"Animation, Adventure, Comedy",Josh Gordon,"Will Speck,Javier Bardem,Winslow Fegley,Shawn Mendes,Constance Wu",6.2,51,3013
The Little Rascals,1994,PG,82 min,"Comedy, Family, Romance",Penelope Spheeris,"Travis Tedford,Bug Hall,Brittany Ashton Holmes,Kevin Jamal Woods",6.3,45,50786
Love Actually,2003,R,135 min,"Comedy, Drama, Romance",Richard Curtis,"Hugh Grant,Martine McCutcheon,Liam Neeson,Laura Linney",7.6,55,480671
