Name,Year,Certificate,Runtime,Genres,Director,Stars,Ratings,Metascore,Votes
Enola Holmes 2,2022,PG-13,129 min,"Action, Adventure, Crime",Harry Bradbeer,"Millie Bobby Brown,Henry Cavill,David Thewlis,Louis Partridge",6.8,64,48755
Poker Face,2022,,94 min,"Action, Crime, Thriller",Russell Crowe,"Russell Crowe,Liam Hemsworth,RZA,Aden Young",5.1,43,2803
John Wick: Chapter 4,2023,,,"Action, Crime, Thriller",Chad Stahelski,"Keanu Reeves,Donnie Yen,Bill Skarsgård,Laurence Fishburne",,,
The Good Nurse,2022,R,121 min,"Biography, Crime, Drama",Tobias Lindholm,"Eddie Redmayne,Jessica Chastain,Denise Pillott,Dartel McRae",6.8,65,40865
Glass Onion: A Knives Out Mystery,2022,PG-13,140 min,"Comedy, Crime, Drama",Rian Johnson,"Daniel Craig,Edward Norton,Kate Hudson,Dave Bautista",8.1,81,2915
Enola Holmes,2020,PG-13,123 min,"Action, Adventure, Crime",Harry Bradbeer,"Millie Bobby Brown,Henry Cavill,Sam Claflin,Helena Bonham Carter",6.6,68,186727
"Monica, O My Darling",2022,TV-MA,129 min,"Comedy, Crime, Drama",Vasan Bala,"Rajkummar Rao,Huma Qureshi,Sikandar Kher,Akansha Ranjan Kapoor",7.6,,8688
Violent Night,2022,R,101 min,"Action, Comedy, Crime",Tommy Wirkola,"Beverly D'Angelo,David Harbour,John Leguizamo,Cam Gigandet",,,
The Batman,2022,PG-13,176 min,"Action, Crime, Drama",Matt Reeves,"Robert Pattinson,Zoë Kravitz,Jeffrey Wright,Colin Farrell",7.9,72,624648
The Godfather,1972,R,175 min,"Crime, Drama",Francis Ford Coppola,"Marlon Brando,Al Pacino,James Caan,Diane Keaton",9.2,100,1846139
The Bad Guys,2022,PG,100 min,"Animation, Adventure, Comedy",Pierre Perifel,"Sam Rockwell,Marc Maron,Awkwafina,Craig Robinson",6.8,64,38306
Knives Out,2019,PG-13,130 min,"Comedy, Crime, Drama",Rian Johnson,"Daniel Craig,Chris Evans,Ana de Armas,Jamie Lee Curtis",7.9,82,622745
The Stranger,II 2022,TV-MA,117 min,"Crime, Drama, Thriller",Thomas M. Wright,"Joel Edgerton,Sean Harris,Jada Alberts,Cormac Wright",6.5,74,11848
