Name,Year,Certificate,Runtime,Genres,Director,Stars,Ratings,Metascore,Votes
Ancient Apocalypse,2022– ,,30 min,"Documentary, History",Graham Hancock,"Joe Rogan,Danny Hilman Natawidjaja,Geoffrey McCafferty",7.8,,3411
Stutz,2022,R,96 min,Documentary,Jonah Hill,"Jonah Hill,Phil Stutz",8.1,76,3089
Limitless,2022– ,TV-14,50 min,"Documentary, Adventure",Chris Hemsworth,"Elsa Pataky,Peter Attia,Ross Edgley",8.2,,579
FIFA Uncovered,2022,TV-14,221 min,"Documentary, Crime, Sport",Mary Lynn Blanks,"Sepp Blatter,Guido Tognoni,David Conn",7.5,,2583
"Pepsi, Where's My Jet?",2022,TV-MA,157 min,"Documentary, History",John Leonard,"Michael Avenatti,Todd Hoffman,Linda Leonard",7.1,,1886
Capturing the Killer Nurse,2022,TV-14,94 min,"Documentary, Crime",Tim Travers Hawkins,"Charles Cullen,Amy Loughren,Donna Hargreaves,Lucille Gall",6.4,,1038
God Forbid,2022,TV-MA,109 min,Documentary,Billy Corben,"Tom Arnold,Michael Cohen,Ted Cruz,Mark Ebner",6.9,65,1200
Killer Sally,2022,TV-MA,149 min,"Documentary, Crime",Sally McNeil,"John McNeil,Shantina McNeil,Peggy Hook",6.8,,2836
Down to Earth with Zac Efron,2020– ,TV-PG,40 min,"Documentary, History, Reality-TV",Zac Efron,"Darin Olien,Bruce Pascoe,Mitch Sandblast",8,,7048
Selena Gomez: My Mind & Me,2022,R,95 min,"Documentary, Biography",Alek Keshishian,"Raquelle Stevens,Liana Blackburn,Brent L. Boxberger,Devyck Bull",7.5,68,3570
Welcome to Wrexham,2022– ,TV-MA,28 min,"Documentary, Sport",Ryan Reynolds,"Rob McElhenney,Phil Parkinson,Humphrey Ker",8.3,,8348
The Vow,2020–2022,TV-MA,60 min,"Documentary, Crime",Sarah Edmondson,"Mark Vicente,Bonnie Piesse,Anthony Ames",7.1,,5519
Savage x Fenty Show Vol. 4,2022,,41 min,"Documentary, Music",Alex Rudzinski,"Taylour Paige,Rihanna,Winston Duke,Sheryl Lee Ralph",7.2,,565
Unsolved Mysteries,2020– ,TV-MA,45 min,"Documentary, Crime, Mystery",Allison Rivera,"Brandi Petersen,Pistol Black,Lars Christian Wegner",7.3,,10678
Fire of Love,2022,PG,98 min,Documentary,Sara Dosa,"Miranda July,Katia Krafft,Maurice Krafft",7.7,83,3109
What Is a Woman?,2022,,95 min,Documentary,Justin Folk,"Matt Walsh,Gert Comfrey,Marci Bowers,Don Sucher",8.4,,26476
Moonage Daydream,2022,PG-13,135 min,"Documentary, Music",Brett Morgen,"David Bowie,Trevor Bolder,Ken Fordham,Mike Garson",7.9,83,6587
Hebrews to Negroes: Wake Up Black America,2018,,208 min,Documentary,Ronald Dalton Jr.,"Akwetey Amaah,Joshua Collins,Stephen Graham,Moreh Huldah",3.2,,650
The Curse of Oak Island,2014– ,TV-PG,60 min,"Documentary, Reality-TV",Robert Clotworthy,"Marty Lagina,Rick Lagina,Charles Barkhouse",6.9,,5750
Planet Earth II,2016,TV-G,298 min,Documentary,David Attenborough,"Chadden Hunter,Gordon Buchanan,Elizabeth White",9.5,,144949
The Rehearsal,2022– ,TV-MA,30 min,"Documentary, Comedy",Nathan Fielder,"Journey Baker,Anna Lamadrid,Sawyer J. Bell",8.7,,16716
Orgasm Inc: The Story of OneTaste,2022,TV-MA,89 min,"Documentary, Crime",Sarah Gibson,"Sloane Klevin,Frank Fu,Yves Gore",5.7,,727
Clarkson's Farm,2021– ,TV-PG,45 min,"Documentary, Comedy, Reality-TV",Jeremy Clarkson,"Kaleb Cooper,Charlie Ireland,Gerald Cooper",9,,36812
The Greatest Lie Ever Sold: George Floyd and the Rise of BLM,2022,TV-MA,79 min,Documentary,Candace Owens,"Candace Owens,Bob Kroll,Liz Collin,Alvin Manago",7.1,,2963
I Am Vanessa Guillen,2022,TV-14,95 min,"Documentary, Crime",Christy Wegener,"Joe Biden,Don Christensen,Lucy Del Gaudio,Tammy Duckworth",6.2,,412
Vatican Girl: The Disappearance of Emanuela Orlandi,2022,TV-14,233 min,"Documentary, Crime, History",Andrea Purgatori,"Carlo Belmondo,Lucrezia Chessari,Helene olivi Borghese",7.1,,2139
Is That Black Enough for You?!?,2022,R,135 min,"Documentary, History",Elvis Mitchell,"Elvis Mitchell,Margaret Avery,Harry Belafonte,Charles Burnett",7.4,83,426
Master of Light,2022,Not Rated,83 min,"Documentary, Family",Rosa Ruth Boesten,George Anthony Morton,7.2,81,92
Abducted in Plain Sight,2017,TV-14,91 min,"Documentary, Crime",Skye Borgman,"Jan Broberg,Bob Broberg,Mary Ann Broberg,Susan Broberg",6.8,,20034
Nathan for You,2013–2017,TV-14,30 min,"Documentary, Comedy",Nathan Fielder,"Anthony Filosa,Salomon Flores,William Heath",8.9,,30891
Save Our Squad,2022– ,TV-14,35 min,"Documentary, Reality-TV, Sport",David Beckham,,6.6,,202
Low Country: The Murdaugh Dynasty,2022,TV-MA,149 min,"Documentary, Biography, Crime",Justin Bamberg,"Andrew Davis,Pilar Melendez,Michael Virzi",7.3,,431
Ghost Adventures,2008– ,TV-PG,45 min,"Documentary, History, Reality-TV",Zak Bagans,"Aaron Goodwin,Billy Tolley,Jay Wasley",7.3,,9463
Sr.,2022,R,89 min,Documentary,Chris Smith,"Paul Thomas Anderson,Alan Arkin,Mezi Atwood,Robert Downey Jr.",8.1,76,52
The Last Dance,2020,TV-MA,491 min,"Documentary, Biography, History",Michael Jordan,"Phil Jackson,Scottie Pippen,David Aldridge",9.1,,122838
State of Alabama vs. Brittany Smith,2022,PG-13,40 min,"Documentary, Short, Crime",Ryan White,"Dawn Hendricks,Chris McCallie,Ramona McCallie,Paige Painter",6,,387
Good Night Oppy,2022,PG,105 min,Documentary,Ryan White,"Angela Bassett,Moogega Cooper,Steve Squyres,Abigail Fraeman",7.8,65,259
In Her Hands,2022,PG-13,92 min,Documentary,Tamana Ayazi,"Marcel Mettelsiefen,Zarifa Ghafari",6.6,46,117
The Royal Mob,2022– ,,,Documentary,Gary Oliver,"Josie Dunn,Evan Milton,Eleanor Jackson",8.3,,12
Cunk on Earth,2022– ,,29 min,"Documentary, Comedy",Diane Morgan,"Jim Al-Khalili,Shirley J. Thompson,Douglas Hedley",8.4,,842
They Shall Not Grow Old,II 2018,R,99 min,"Documentary, History, War",Peter Jackson,"Thomas Adlam,William Argent,John Ashby,Attwood",8.2,91,35158
Spector,2022– ,TV-MA,52 min,Documentary,,,7.2,,185
Formula 1: Drive to Survive,2019– ,TV-MA,40 min,"Documentary, Sport",Will Buxton,"Jack Nicholls,Lewis Hamilton,Sergio Pérez",8.6,,40586
Somebody Feed Phil,2018– ,TV-14,60 min,Documentary,Phil Rosenthal,"Monica Horan,Judy Gold,Lily Rosenthal",8.3,,5634
Cosmos: A Spacetime Odyssey,2014,TV-PG,557 min,Documentary,Neil deGrasse Tyson,"Christopher Emerson,Keythe Farley,Piotr Michael",9.3,,122052
Stanley Tucci: Searching for Italy,2021– ,TV-PG,60 min,"Documentary, Reality-TV",Stanley Tucci,"Felicity Blunt,Tess Masazza,Massimo Bottura",8.7,,2126
Ancient Aliens,2009– ,TV-PG,42 min,"Documentary, Fantasy, History",Robert Clotworthy,"Giorgio A. Tsoukalos,David Childress,William Henry",7.1,,11425
Roman Empire,2016–2019,TV-MA,48 min,"Documentary, Biography, Drama",Aaron Irvin,"Corey Brennan,Jerry Toner,Steve West",7,,8023
Alone,2015– ,TV-14,44 min,"Documentary, Game-Show, Reality-TV",Nicole Apelian,"Sam Larson,Brooke Whipple,Jesse Bosdell",8.4,,5646
"Blood, Sex & Royalty",2022– ,,,"Documentary, Biography",Georgia Sansom,"Amy James-Kelly,Max Parker,Jhon Lumsden",5.7,,73
