Name,Year,Certificate,Runtime,Genres,Director,Stars,Ratings,Metascore,Votes
Black Panther: Wakanda Forever,2022,PG-13,161 min,"Action, Adventure, Drama",Ryan Coogler,"Letitia Wright,Lupita Nyong'o,Danai Gurira,Winston Duke",7.3,67,89766
Don't Worry Darling,I 2022,R,123 min,"Drama, Thriller",Olivia Wilde,"Florence Pugh,Harry Styles,Chris Pine,Olivia Wilde",6.2,48,68095
Where the Crawdads Sing,2022,PG-13,125 min,"Drama, Mystery, Thriller",Olivia Newman,"Daisy Edgar-Jones,Taylor John Smith,Harris Dickinson,David Strathairn",7.1,43,56342
The Wonder,I 2022,R,108 min,"Drama, Mystery, Thriller",Sebastián Lelio,"Florence Pugh,Tom Burke,Kíla Lord Cassidy,Niamh Algar",6.7,71,10761
Enola Holmes 2,2022,PG-13,129 min,"Action, Adventure, Crime",Harry Bradbeer,"Millie Bobby Brown,Henry Cavill,David Thewlis,Louis Partridge",6.8,64,48755
All Quiet on the Western Front,2022,R,148 min,"Action, Drama, War",Edward Berger,"Felix Kammerer,Albrecht Schuch,Aaron Hilmer,Moritz Klaus",7.9,76,67123
Amsterdam,2022,R,134 min,"Comedy, Drama, History",David O. Russell,"Christian Bale,Margot Robbie,John David Washington,Alessandro Nivola",6.1,48,24016
The Whale,2022,R,117 min,Drama,Darren Aronofsky,"Brendan Fraser,Sadie Sink,Ty Simpkins,Hong Chau",8.5,65,
The Banshees of Inisherin,2022,R,114 min,"Comedy, Drama",Martin McDonagh,"Colin Farrell,Brendan Gleeson,Kerry Condon,Barry Keoghan",8.2,87,14611
The Fabelmans,2022,PG-13,151 min,Drama,Steven Spielberg,"Michelle Williams,Gabriel LaBelle,Paul Dano,Judd Hirsch",8.2,84,1853
Bones and All,2022,R,131 min,"Drama, Horror, Romance",Luca Guadagnino,"Timothée Chalamet,Taylor Russell,Mark Rylance,Kendle Coffey",7.3,72,2426
The Good Nurse,2022,R,121 min,"Biography, Crime, Drama",Tobias Lindholm,"Eddie Redmayne,Jessica Chastain,Denise Pillott,Dartel McRae",6.8,65,40865
Tár,2022,R,158 min,"Drama, Music",Todd Field,"Cate Blanchett,Noémie Merlant,Nina Hoss,Sophie Kauer",7.9,91,7468
Glass Onion: A Knives Out Mystery,2022,PG-13,140 min,"Comedy, Crime, Drama",Rian Johnson,"Daniel Craig,Edward Norton,Kate Hudson,Dave Bautista",8.1,81,2915
Enola Holmes,2020,PG-13,123 min,"Action, Adventure, Crime",Harry Bradbeer,"Millie Bobby Brown,Henry Cavill,Sam Claflin,Helena Bonham Carter",6.6,68,186727
Top Gun: Maverick,2022,PG-13,130 min,"Action, Drama",Joseph Kosinski,"Tom Cruise,Jennifer Connelly,Miles Teller,Val Kilmer",8.4,78,432173
"Monica, O My Darling",2022,TV-MA,129 min,"Comedy, Crime, Drama",Vasan Bala,"Rajkummar Rao,Huma Qureshi,Sikandar Kher,Akansha Ranjan Kapoor",7.6,,8688
My Policeman,2022,R,113 min,"Drama, Romance",Michael Grandage,"Harry Styles,Emma Corrin,Gina McKee,Linus Roache",6.5,50,10990
She Said,2022,R,129 min,"Drama, History",Maria Schrader,"Carey Mulligan,Zoe Kazan,Patricia Clarkson,Andre Braugher",7.4,74,2222
The Woman King,2022,PG-13,135 min,"Action, Drama, History",Gina Prince-Bythewood,"Viola Davis,Thuso Mbedu,Lashana Lynch,Sheila Atim",6.7,77,33793
Babylon,I 2022,,188 min,"Comedy, Drama, History",Damien Chazelle,"Brad Pitt,Margot Robbie,Jean Smart,Olivia Wilde",,,
Triangle of Sadness,2022,R,147 min,"Comedy, Drama",Ruben Östlund,"Harris Dickinson,Charlbi Dean,Woody Harrelson,Zlatko Buric",7.8,63,19859
Kantara,2022,,148 min,"Action, Adventure, Drama",Rishab Shetty,"Rishab Shetty,Sapthami Gowda,Kishore Kumar G.,Achyuth Kumar",9,,68626
Magic Mike's Last Dance,2023,,,"Comedy, Drama",Steven Soderbergh,"Channing Tatum,Salma Hayek,Caitlin Gerard,Nancy Carroll",,,
The School for Good and Evil,2022,PG-13,147 min,"Action, Comedy, Drama",Paul Feig,"Kit Young,Sophia Anne Caruso,Cate Blanchett,Liam Woon",5.8,30,22689
The Batman,2022,PG-13,176 min,"Action, Crime, Drama",Matt Reeves,"Robert Pattinson,Zoë Kravitz,Jeffrey Wright,Colin Farrell",7.9,72,624648
The Godfather,1972,R,175 min,"Crime, Drama",Francis Ford Coppola,"Marlon Brando,Al Pacino,James Caan,Diane Keaton",9.2,100,1846139
Causeway,2022,R,92 min,Drama,Lila Neugebauer,"Jennifer Lawrence,Brian Tyree Henry,Linda Emond,Danny Wolohan",6.5,66,6649
Top Gun,1986,PG,110 min,"Action, Drama",Tony Scott,"Tom Cruise,Tim Robbins,Kelly McGillis,Val Kilmer",6.9,50,437764
The Northman,2022,R,137 min,"Action, Adventure, Drama",Robert Eggers,"Alexander Skarsgård,Nicole Kidman,Claes Bang,Ethan Hawke",7.1,82,190603
Guillermo del Toro's Pinocchio,II 2022,PG,117 min,"Animation, Drama, Family",Guillermo del Toro,"Mark Gustafson,Gregory Mann,Ewan McGregor,Ron Perlman,Finn Wolfhard",8,85,1038
Emily,2022,R,130 min,"Biography, Drama, Romance",Frances O'Connor,"Emma Mackey,Oliver Jackson-Cohen,Fionn Whitehead,Alexandra Dowling",6.9,77,1431
Empire of Light,2022,R,119 min,"Drama, Romance",Sam Mendes,"Olivia Colman,Micheal Ward,Colin Firth,Toby Jones",6.5,58,647
Knives Out,2019,PG-13,130 min,"Comedy, Crime, Drama",Rian Johnson,"Daniel Craig,Chris Evans,Ana de Armas,Jamie Lee Curtis",7.9,82,622745
Armageddon Time,2022,R,114 min,Drama,James Gray,"Anne Hathaway,Jeremy Strong,Banks Repeta,Jaylin Webb",6.9,74,3191
The Shawshank Redemption,1994,R,142 min,Drama,Frank Darabont,"Tim Robbins,Morgan Freeman,Bob Gunton,William Sadler",9.3,81,2664085
Lamborghini: The Man Behind the Legend,2022,R,97 min,"Biography, Drama, Sport",Bobby Moresco,"Frank Grillo,Mira Sorvino,Eliana Jones,Gabriel Byrne",5.1,,1313
The Stranger,II 2022,TV-MA,117 min,"Crime, Drama, Thriller",Thomas M. Wright,"Joel Edgerton,Sean Harris,Jada Alberts,Cormac Wright",6.5,74,11848
Chariots of Fire,1981,PG,125 min,"Biography, Drama, Sport",Hugh Hudson,"Ben Cross,Ian Charleson,Nicholas Farrell,Nigel Havers",7.1,78,61157
Medieval,2022,R,126 min,"Action, Drama, History",Petr Jákl,"Ben Foster,Sophie Lowe,Michael Caine,Til Schweiger",5.9,46,4983
Aftersun,II 2022,R,102 min,Drama,Charlotte Wells,"Paul Mescal,Frankie Corio,Celia Rowlson-Hall,Sally Messham",7.7,95,4178
Elvis,2022,PG-13,159 min,"Biography, Drama, Music",Baz Luhrmann,"Tom Hanks,Austin Butler,Olivia DeJonge,Helen Thomson",7.4,64,146132
Uunchai,2022,,173 min,"Adventure, Drama",Sooraj R. Barjatya,"Amitabh Bachchan,Anupam Kher,Boman Irani,Parineeti Chopra",7.9,,3253
The Santa Clause,1994,PG,97 min,"Comedy, Drama, Family",John Pasquin,"Tim Allen,Judge Reinhold,Wendy Crewson,Eric Lloyd",6.5,57,117334
Midsommar,2019,R,148 min,"Drama, Horror, Mystery",Ari Aster,"Florence Pugh,Jack Reynor,Vilhelm Blomgren,William Jackson Harper",7.1,72,320595
Interstellar,2014,PG-13,169 min,"Adventure, Drama, Sci-Fi",Christopher Nolan,"Matthew McConaughey,Anne Hathaway,Jessica Chastain,Mackenzie Foy",8.6,74,1810662
Call Jane,2022,R,121 min,"Drama, History",Phyllis Nagy,"Elizabeth Banks,Sigourney Weaver,Chris Messina,Kate Mara",6.1,64,1888
Luckiest Girl Alive,2022,R,113 min,"Drama, Mystery, Thriller",Mike Barker,"Mila Kunis,Chiara Aurelia,Finn Wittrock,Connie Britton",6.4,54,39347
American Psycho,2000,R,102 min,"Crime, Drama, Horror",Mary Harron,"Christian Bale,Justin Theroux,Josh Lucas,Bill Sage",7.6,64,614541
Dune,2021,PG-13,155 min,"Action, Adventure, Drama",Denis Villeneuve,"Timothée Chalamet,Rebecca Ferguson,Zendaya,Oscar Isaac",8,74,625849
