Name,Year,Certificate,Runtime,Genres,Director,Stars,Ratings,Metascore,Votes
Tension,1949,Not Rated,95 min,"Crime, Drama, Film-Noir",John Berry,"Richard Basehart,Audrey Totter,Cyd Charisse,Barry Sullivan",7.3,,3154
Touch of Evil,1958,PG-13,95 min,"Crime, Drama, Film-Noir",Orson Welles,"Charlton Heston,Orson Welles,Janet Leigh,Joseph Calleia",8,99,105171
"Murder, My Sweet",1944,Approved,95 min,"Crime, Drama, Film-Noir",Edward Dmytryk,"Dick Powell,Claire Trevor,Anne Shirley,Otto Kruger",7.5,,13781
Sunset Blvd.,1950,Passed,110 min,"Drama, Film-Noir",Billy Wilder,"William Holden,Gloria Swanson,Erich von Stroheim,Nancy Olson",8.4,,222311
The Postman Always Rings Twice,1946,Passed,113 min,"Crime, Drama, Film-Noir",Tay Garnett,"Lana Turner,John Garfield,Cecil Kellaway,Hume Cronyn",7.4,84,21255
Rebecca,1940,Approved,130 min,"Drama, Film-Noir, Mystery",Alfred Hitchcock,"Laurence Olivier,Joan Fontaine,George Sanders,Judith Anderson",8.1,86,137879
Double Indemnity,1944,Passed,107 min,"Crime, Drama, Film-Noir",Billy Wilder,"Fred MacMurray,Barbara Stanwyck,Edward G. Robinson,Byron Barr",8.3,95,157905
Kiss Me Deadly,1955,Not Rated,106 min,"Crime, Film-Noir, Mystery",Robert Aldrich,"Ralph Meeker,Albert Dekker,Paul Stewart,Juano Hernandez",7.5,,20779
The Maltese Falcon,1941,Passed,100 min,"Crime, Film-Noir, Mystery",John Huston,"Humphrey Bogart,Mary Astor,Gladys George,Peter Lorre",8,97,159293
The Third Man,1949,Approved,93 min,"Film-Noir, Mystery, Thriller",Carol Reed,"Orson Welles,Joseph Cotten,Alida Valli,Trevor Howard",8.1,97,172317
Shadow of a Doubt,1943,Passed,108 min,"Film-Noir, Thriller",Alfred Hitchcock,"Teresa Wright,Joseph Cotten,Macdonald Carey,Henry Travers",7.8,94,66195
Gilda,1946,Approved,110 min,"Drama, Film-Noir, Romance",Charles Vidor,"Rita Hayworth,Glenn Ford,George Macready,Joseph Calleia",7.6,,32703
Niagara,1953,Not Rated,92 min,"Film-Noir, Thriller",Henry Hathaway,"Marilyn Monroe,Joseph Cotten,Jean Peters,Max Showalter",7,,18123
The Big Sleep,1946,Passed,114 min,"Crime, Film-Noir, Mystery",Howard Hawks,"Humphrey Bogart,Lauren Bacall,John Ridgely,Martha Vickers",7.9,86,86288
The Night of the Hunter,1955,Not Rated,92 min,"Crime, Drama, Film-Noir",Charles Laughton,"Robert Mitchum,Shelley Winters,Lillian Gish,James Gleason",8,99,90107
Notorious,1946,Not Rated,102 min,"Drama, Film-Noir, Romance",Alfred Hitchcock,"Cary Grant,Ingrid Bergman,Claude Rains,Louis Calhern",7.9,100,101789
Out of the Past,1947,Not Rated,97 min,"Crime, Drama, Film-Noir",Jacques Tourneur,"Robert Mitchum,Jane Greer,Kirk Douglas,Rhonda Fleming",8,85,37833
Strangers on a Train,1951,PG,101 min,"Crime, Drama, Film-Noir",Alfred Hitchcock,"Farley Granger,Robert Walker,Ruth Roman,Leo G. Carroll",7.9,88,134613
The Killing,1956,Approved,84 min,"Crime, Drama, Film-Noir",Stanley Kubrick,"Sterling Hayden,Coleen Gray,Vince Edwards,Jay C. Flippen",8,91,90530
Leave Her to Heaven,1945,Passed,110 min,"Drama, Film-Noir, Romance",John M. Stahl,"Gene Tierney,Cornel Wilde,Jeanne Crain,Vincent Price",7.6,,13442
Laura,1944,Passed,88 min,"Drama, Film-Noir, Mystery",Otto Preminger,"Gene Tierney,Dana Andrews,Clifton Webb,Vincent Price",7.9,,47941
Call Northside 777,1948,Approved,112 min,"Drama, Film-Noir",Henry Hathaway,"James Stewart,Richard Conte,Lee J. Cobb,Helen Walker",7.4,,9236
The Blue Dahlia,1946,Passed,96 min,"Crime, Film-Noir, Mystery",George Marshall,"Alan Ladd,Veronica Lake,William Bendix,Howard Da Silva",7.1,,8799
To Have and Have Not,1944,Passed,100 min,"Adventure, Comedy, Film-Noir",Howard Hawks,"Humphrey Bogart,Lauren Bacall,Walter Brennan,Dolores Moran",7.8,90,35236
This Gun for Hire,1942,Passed,81 min,"Crime, Drama, Film-Noir",Frank Tuttle,"Alan Ladd,Veronica Lake,Robert Preston,Laird Cregar",7.4,,9568
Sweet Smell of Success,1957,Approved,96 min,"Drama, Film-Noir",Alexander Mackendrick,"Burt Lancaster,Tony Curtis,Susan Harrison,Martin Milner",8,100,32679
The Roaring Twenties,1939,Passed,106 min,"Crime, Drama, Film-Noir",Raoul Walsh,"James Cagney,Humphrey Bogart,Priscilla Lane,Gladys George",7.9,,14311
Cry Terror!,1958,Not Rated,96 min,"Crime, Film-Noir, Thriller",Andrew L. Stone,"James Mason,Rod Steiger,Inger Stevens,Neville Brand",6.6,,1290
The Killers,1946,Passed,103 min,"Crime, Drama, Film-Noir",Robert Siodmak,"Burt Lancaster,Ava Gardner,Edmond O'Brien,Albert Dekker",7.7,,21621
Hell Drivers,1957,Approved,91 min,"Crime, Drama, Film-Noir",Cy Endfield,"Stanley Baker,Herbert Lom,Peggy Cummins,Patrick McGoohan",7.2,,3575
The Glass Key,1942,Passed,85 min,"Crime, Drama, Film-Noir",Stuart Heisler,"Alan Ladd,Veronica Lake,Brian Donlevy,Bonita Granville",7,,6595
White Heat,1949,Not Rated,114 min,"Action, Crime, Drama",Raoul Walsh,"James Cagney,Virginia Mayo,Edmond O'Brien,Margaret Wycherly",8.1,,33337
