Name,Year,Certificate,Runtime,Genres,Director,Stars,Ratings,Metascore,Votes
Amsterdam,2022,R,134 min,"Comedy, Drama, History",David O. Russell,"Christian Bale,Margot Robbie,John David Washington,Alessandro Nivola",6.1,48,24016
She Said,2022,R,129 min,"Drama, History",Maria Schrader,"Carey Mulligan,Zoe Kazan,Patricia Clarkson,Andre Braugher",7.4,74,2222
The Woman King,2022,PG-13,135 min,"Action, Drama, History",Gina Prince-Bythewood,"Viola Davis,Thuso Mbedu,Lashana Lynch,Sheila Atim",6.7,77,33793
Babylon,I 2022,,188 min,"Comedy, Drama, History",Damien Chazelle,"Brad Pitt,Margot Robbie,Jean Smart,Olivia Wilde",,,
The Northman,2022,R,137 min,"Action, Adventure, Drama",Robert Eggers,"Alexander Skarsgård,Nicole Kidman,Claes Bang,Ethan Hawke",7.1,82,190603
Medieval,2022,R,126 min,"Action, Drama, History",Petr Jákl,"Ben Foster,Sophie Lowe,Michael Caine,Til Schweiger",5.9,46,4983
Call Jane,2022,R,121 min,"Drama, History",Phyllis Nagy,"Elizabeth Banks,Sigourney Weaver,Chris Messina,Kate Mara",6.1,64,1888
Killers of the Flower Moon,2023,,,"Crime, Drama, History",Martin Scorsese,"Leonardo DiCaprio,Robert De Niro,Lily Gladstone,Jesse Plemons",,,
Oppenheimer,2023,,,"Biography, Drama, History",Christopher Nolan,"Florence Pugh,Emily Blunt,Cillian Murphy,Emma Dumont",,,
Schindler's List,1993,R,195 min,"Biography, Drama, History",Steven Spielberg,"Liam Neeson,Ralph Fiennes,Ben Kingsley,Caroline Goodall",9,94,1349021
Till,2022,PG-13,130 min,"Biography, Drama, History",Chinonye Chukwu,"Danielle Deadwyler,Jalyn Hall,Frankie Faison,Haley Bennett",7.4,79,2293
Kingdom of Heaven,2005,R,144 min,"Action, Adventure, Drama",Ridley Scott,"Orlando Bloom,Eva Green,Liam Neeson,Martin Hancock",7.2,63,290022
Hacksaw Ridge,2016,R,139 min,"Biography, Drama, History",Mel Gibson,"Andrew Garfield,Sam Worthington,Luke Bracey,Teresa Palmer",8.1,71,523653
Corsage,2022,,113 min,"Biography, Drama, History",Marie Kreutzer,"Colin Morgan,Vicky Krieps,Ivana Urban,Finnegan Oldfield",6.9,81,1596
