Name,Year,Certificate,Runtime,Genres,Director,Stars,Ratings,Metascore,Votes
Weird: The Al Yankovic Story,2022,TV-14,108 min,"Biography, Comedy, Music",Eric Appel,"Diedrich Bader,Daniel Radcliffe,Lin-Manuel Miranda,Richard Aaron Anderson",7.1,70,16861
Tár,2022,R,158 min,"Drama, Music",Todd Field,"Cate Blanchett,Noémie Merlant,Nina Hoss,Sophie Kauer",7.9,91,7468
Elvis,2022,PG-13,159 min,"Biography, Drama, Music",Baz Luhrmann,"Tom Hanks,Austin Butler,Olivia DeJonge,Helen Thomson",7.4,64,146132
Whiplash,2014,R,106 min,"Drama, Music",Damien Chazelle,"Miles Teller,J.K. Simmons,Melissa Benoist,Paul Reiser",8.5,89,852699
I Wanna Dance with Somebody,2022,,,"Biography, Drama, Music",Kasi Lemmons,"Stanley Tucci,Naomi Ackie,Tamara Tunie,Clarke Peters",,,
Pitch Perfect,2012,PG-13,112 min,"Comedy, Music, Romance",Jason Moore,"Anna Kendrick,Brittany Snow,Rebel Wilson,Anna Camp",7.1,66,307286
CODA,2021,PG-13,111 min,"Comedy, Drama, Music",Sian Heder,"Emilia Jones,Marlee Matlin,Troy Kotsur,Daniel Durant",8,72,130974
Green Book,2018,PG-13,130 min,"Biography, Comedy, Drama",Peter Farrelly,"Viggo Mortensen,Mahershala Ali,Linda Cardellini,Sebastian Maniscalco",8.2,69,488450
Almost Famous,2000,R,122 min,"Adventure, Comedy, Drama",Cameron Crowe,"Billy Crudup,Patrick Fugit,Kate Hudson,Frances McDormand",7.9,90,277172
Magic Mike XXL,2015,R,115 min,"Comedy, Drama, Music",Gregory Jacobs,"Channing Tatum,Joe Manganiello,Matt Bomer,Adam Rodriguez",5.6,60,56764
The Bodyguard,1992,R,129 min,"Action, Drama, Music",Mick Jackson,"Kevin Costner,Whitney Houston,Gary Kemp,Bill Cobbs",6.3,39,136053
Baby Driver,2017,R,113 min,"Action, Crime, Drama",Edgar Wright,"Ansel Elgort,Jon Bernthal,Jon Hamm,Eiza González",7.6,86,536259
Purple Hearts,2022,TV-14,122 min,"Drama, Music, Romance",Elizabeth Allen Rosenbaum,"Sofia Carson,Nicholas Galitzine,Chosen Jacobs,John Harlan Kim",6.7,30,36665
Taurus,2022,,98 min,"Biography, Drama, Music",Tim Sutton,"Megan Fox,Ruby Rose,Colson Baker,Scoot McNairy",4.8,51,470
La La Land,2016,PG-13,128 min,"Comedy, Drama, Music",Damien Chazelle,"Ryan Gosling,Emma Stone,Rosemarie DeWitt,J.K. Simmons",8,94,585346
Dirty Dancing,I 1987,PG-13,100 min,"Drama, Music, Romance",Emile Ardolino,"Patrick Swayze,Jennifer Grey,Jerry Orbach,Cynthia Rhodes",7,65,233463
Coco,I 2017,PG,105 min,"Animation, Adventure, Comedy",Lee Unkrich,"Adrian Molina,Anthony Gonzalez,Gael García Bernal,Benjamin Bratt,Alanna Ubach",8.4,81,504287
The Pianist,2002,R,150 min,"Biography, Drama, Music",Roman Polanski,"Adrien Brody,Thomas Kretschmann,Frank Finlay,Emilia Fox",8.5,85,828407
Amadeus,1984,R,160 min,"Biography, Drama, Music",Milos Forman,"F. Murray Abraham,Tom Hulce,Elizabeth Berridge,Roy Dotrice",8.4,88,401121
Entergalactic,2022,TV-MA,93 min,"Animation, Comedy, Music",Fletcher Moules,"Kid Cudi,Jessica Williams,Laura Harrier,Ty Dolla $ign",7.4,,8243
Bohemian Rhapsody,2018,PG-13,134 min,"Biography, Drama, Music",Bryan Singer,"Rami Malek,Lucy Boynton,Gwilym Lee,Ben Hardy",7.9,49,537332
8 Mile,2002,R,110 min,"Drama, Music",Curtis Hanson,"Eminem,Brittany Murphy,Kim Basinger,Mekhi Phifer",7.2,77,291026
Freaky Friday,2003,PG,97 min,"Comedy, Family, Fantasy",Mark Waters,"Jamie Lee Curtis,Lindsay Lohan,Mark Harmon,Harold Gould",6.3,70,140229
"O Brother, Where Art Thou?",2000,PG-13,107 min,"Adventure, Comedy, Crime",Joel Coen,"Ethan Coen,George Clooney,John Turturro,Tim Blake Nelson,John Goodman",7.7,69,312930
A Star Is Born,2018,R,136 min,"Drama, Music, Romance",Bradley Cooper,"Lady Gaga,Bradley Cooper,Sam Elliott,Greg Grunberg",7.6,88,383733
Wayne's World,1992,PG-13,94 min,"Comedy, Music",Penelope Spheeris,"Mike Myers,Dana Carvey,Rob Lowe,Tia Carrere",7,57,158444
The Blues Brothers,1980,R,133 min,"Action, Adventure, Comedy",John Landis,"John Belushi,Dan Aykroyd,Cab Calloway,John Candy",7.9,60,200608
Footloose,1984,PG,107 min,"Drama, Music, Romance",Herbert Ross,"Kevin Bacon,Lori Singer,John Lithgow,Dianne Wiest",6.6,42,81980
School of Rock,2003,PG-13,109 min,"Comedy, Music",Richard Linklater,"Jack Black,Mike White,Joan Cusack,Adam Pascal",7.2,82,307094
Soul,2020,PG,100 min,"Animation, Adventure, Comedy",Pete Docter,"Kemp Powers,Jamie Foxx,Tina Fey,Graham Norton,Rachel House",8,83,327942
Climax,I 2018,R,97 min,"Drama, Horror, Music",Gaspar Noé,"Sofia Boutella,Romain Guillermic,Souheila Yacoub,Kiddy Smile",6.9,67,69319
Pitch Perfect 2,2015,PG-13,115 min,"Comedy, Music",Elizabeth Banks,"Anna Kendrick,Rebel Wilson,Hailee Steinfeld,Brittany Snow",6.4,63,158436
Green Room,2015,R,95 min,"Crime, Drama, Horror",Jeremy Saulnier,"Anton Yelchin,Imogen Poots,Alia Shawkat,Patrick Stewart",7,79,125482
Marry Me,2022,PG-13,112 min,"Comedy, Music, Romance",Kat Coiro,"Jennifer Lopez,Owen Wilson,Maluma,John Bradley",6.1,51,31525
