Name,Year,Certificate,Runtime,Genres,Director,Stars,Ratings,Metascore,Votes
Lamborghini: The Man Behind the Legend,2022,R,97 min,"Biography, Drama, Sport",Bobby Moresco,"Frank Grillo,Mira Sorvino,Eliana Jones,Gabriel Byrne",5.1,,1313
Chariots of Fire,1981,PG,125 min,"Biography, Drama, Sport",Hugh Hudson,"Ben Cross,Ian Charleson,Nicholas Farrell,Nigel Havers",7.1,78,61157
Creed III,2023,,,"Drama, Sport",Michael B. Jordan,"Jonathan Majors,Michael B. Jordan,Tessa Thompson,Selenis Leyva",,,
Ford v Ferrari,2019,PG-13,152 min,"Action, Biography, Drama",James Mangold,"Matt Damon,Christian Bale,Jon Bernthal,Caitríona Balfe",8.1,81,391208
Hustle,2022,R,117 min,"Comedy, Drama, Sport",Jeremiah Zagar,"Adam Sandler,Queen Latifah,Juancho Hernangomez,Ben Foster",7.3,68,117192
The Soccer Football Movie,2022,TV-Y7,73 min,"Animation, Comedy, Family",Mitch Schauer,"Zlatan Ibrahimovic,Megan Rapinoe,'Weird Al' Yankovic,Rob Stone",3.1,,516
80 for Brady,2023,,,"Comedy, Drama, Sport",Kyle Marvin,"Jane Fonda,Sally Field,Rita Moreno,Lily Tomlin",,,
Cars,2006,G,117 min,"Animation, Adventure, Comedy",John Lasseter,"Joe Ranft,Owen Wilson,Bonnie Hunt,Paul Newman,Larry the Cable Guy",7.2,73,422146
Rocky,1976,PG,120 min,"Drama, Sport",John G. Avildsen,"Sylvester Stallone,Talia Shire,Burt Young,Carl Weathers",8.1,70,575065
Dive,2022,,95 min,"Drama, Sport",Lucía Puenzo,"Karla Souza,Hernán Mendoza,Dèja Ebergenyi,Fernanda Borches",6.9,,459
Moneyball,2011,PG-13,133 min,"Biography, Drama, Sport",Bennett Miller,"Brad Pitt,Robin Wright,Jonah Hill,Philip Seymour Hoffman",7.6,87,423962
Warrior,2011,PG-13,140 min,"Action, Drama, Sport",Gavin O'Connor,"Tom Hardy,Nick Nolte,Joel Edgerton,Jennifer Morrison",8.2,71,472611
Dodgeball: A True Underdog Story,2004,PG-13,92 min,"Comedy, Sport",Rawson Marshall Thurber,"Ben Stiller,Christine Taylor,Vince Vaughn,Rip Torn",6.7,55,251113
The Replacements,2000,PG-13,118 min,"Comedy, Sport",Howard Deutch,"Keanu Reeves,Gene Hackman,Brooke Langton,Orlando Jones",6.6,30,65760
The Waterboy,1998,PG-13,90 min,"Comedy, Sport",Frank Coraci,"Adam Sandler,Kathy Bates,Henry Winkler,Fairuza Balk",6.1,41,165652
Molly's Game,2017,R,140 min,"Biography, Crime, Drama",Aaron Sorkin,"Jessica Chastain,Idris Elba,Kevin Costner,Michael Cera",7.4,71,173000
Creed,II 2015,PG-13,133 min,"Action, Drama, Sport",Ryan Coogler,"Michael B. Jordan,Sylvester Stallone,Tessa Thompson,Phylicia Rashad",7.6,82,274886
The Karate Kid,1984,PG,126 min,"Action, Drama, Family",John G. Avildsen,"Ralph Macchio,Pat Morita,Elisabeth Shue,Martin Kove",7.3,60,226807
Talladega Nights: The Ballad of Ricky Bobby,2006,PG-13,108 min,"Comedy, Sport",Adam McKay,"Will Ferrell,John C. Reilly,Sacha Baron Cohen,Gary Cole",6.6,66,186138
The Longest Yard,2005,PG-13,113 min,"Comedy, Crime, Sport",Peter Segal,"Adam Sandler,Burt Reynolds,Chris Rock,Nelly",6.4,48,180632
Remember the Titans,2000,PG,113 min,"Biography, Drama, Sport",Boaz Yakin,"Denzel Washington,Will Patton,Wood Harris,Ryan Hurst",7.8,48,216672
Fighting with My Family,2019,PG-13,108 min,"Biography, Comedy, Drama",Stephen Merchant,"Dwayne Johnson,Lena Headey,Vince Vaughn,Florence Pugh",7.1,68,81909
A League of Their Own,1992,PG,128 min,"Comedy, Drama, Sport",Penny Marshall,"Tom Hanks,Geena Davis,Lori Petty,Madonna",7.3,69,110287
The Fighter,I 2010,R,116 min,"Action, Biography, Drama",David O. Russell,"Mark Wahlberg,Christian Bale,Amy Adams,Melissa Leo",7.8,79,368878
King Richard,2021,PG-13,144 min,"Biography, Drama, Sport",Reinaldo Marcus Green,"Will Smith,Aunjanue Ellis,Jon Bernthal,Saniyya Sidney",7.5,76,112232
Rush,I 2013,R,123 min,"Action, Biography, Drama",Ron Howard,"Daniel Brühl,Chris Hemsworth,Olivia Wilde,Alexandra Maria Lara",8.1,74,479889
17 Again,2009,PG-13,102 min,"Comedy, Drama, Fantasy",Burr Steers,"Zac Efron,Matthew Perry,Leslie Mann,Thomas Lennon",6.4,48,202832
Happy Gilmore,1996,PG-13,92 min,"Comedy, Sport",Dennis Dugan,"Adam Sandler,Christopher McDonald,Julie Bowen,Frances Bay",7,31,227025
The Blind Side,2009,PG-13,129 min,"Biography, Drama, Sport",John Lee Hancock,"Quinton Aaron,Sandra Bullock,Tim McGraw,Jae Head",7.6,53,333063
No Limit,2022,TV-MA,118 min,"Drama, Romance, Sport",David M. Rosenthal,"Camille Rowe,Sofiane Zermani,César Domboy,Laurent Fernandez",5.8,,2573
The Sandlot,1993,PG,101 min,"Comedy, Drama, Family",David Mickey Evans,"Tom Guiry,Mike Vitar,Art LaFleur,Patrick Renna",7.8,55,93216
Creed II,2018,PG-13,130 min,"Drama, Sport",Steven Caple Jr.,"Michael B. Jordan,Sylvester Stallone,Tessa Thompson,Phylicia Rashad",7.1,66,126385
