Name,Year,Certificate,Runtime,Genres,Director,Stars,Ratings,Metascore,Votes
Black Panther: Wakanda Forever,2022,PG-13,161 min,"Action, Adventure, Drama",Ryan Coogler,"Letitia Wright,Lupita Nyong'o,Danai Gurira,Winston Duke",7.3,67,89766
The Menu,2022,R,107 min,"Comedy, Horror, Thriller",Mark Mylod,"Ralph Fiennes,Anya Taylor-Joy,Nicholas Hoult,Hong Chau",7.6,71,14657
Don't Worry Darling,I 2022,R,123 min,"Drama, Thriller",Olivia Wilde,"Florence Pugh,Harry Styles,Chris Pine,Olivia Wilde",6.2,48,68095
Where the Crawdads Sing,2022,PG-13,125 min,"Drama, Mystery, Thriller",Olivia Newman,"Daisy Edgar-Jones,Taylor John Smith,Harris Dickinson,David Strathairn",7.1,43,56342
Smile,V 2022,R,115 min,"Horror, Mystery, Thriller",Parker Finn,"Sosie Bacon,Jessie T. Usher,Kyle Gallner,Robin Weigert",6.7,68,61841
The Wonder,I 2022,R,108 min,"Drama, Mystery, Thriller",Sebastián Lelio,"Florence Pugh,Tom Burke,Kíla Lord Cassidy,Niamh Algar",6.7,71,10761
Barbarian,2022,R,102 min,"Horror, Mystery, Thriller",Zach Cregger,"Georgina Campbell,Bill Skarsgård,Justin Long,Matthew Patrick Davis",7.1,78,84913
Amsterdam,2022,R,134 min,"Comedy, Drama, History",David O. Russell,"Christian Bale,Margot Robbie,John David Washington,Alessandro Nivola",6.1,48,24016
Poker Face,2022,,94 min,"Action, Crime, Thriller",Russell Crowe,"Russell Crowe,Liam Hemsworth,RZA,Aden Young",5.1,43,2803
Bullet Train,2022,R,127 min,"Action, Comedy, Thriller",David Leitch,"Brad Pitt,Joey King,Aaron Taylor-Johnson,Brian Tyree Henry",7.3,49,182810
John Wick: Chapter 4,2023,,,"Action, Crime, Thriller",Chad Stahelski,"Keanu Reeves,Donnie Yen,Bill Skarsgård,Laurence Fishburne",,,
The Good Nurse,2022,R,121 min,"Biography, Crime, Drama",Tobias Lindholm,"Eddie Redmayne,Jessica Chastain,Denise Pillott,Dartel McRae",6.8,65,40865
Glass Onion: A Knives Out Mystery,2022,PG-13,140 min,"Comedy, Crime, Drama",Rian Johnson,"Daniel Craig,Edward Norton,Kate Hudson,Dave Bautista",8.1,81,2915
