Name,Year,Certificate,Runtime,Genres,Director,Stars,Ratings,Metascore,Votes
Killers of the Flower Moon,2023,,,"Crime, Drama, History",Martin Scorsese,"Leonardo DiCaprio,Robert De Niro,Lily Gladstone,Jesse Plemons",,,
Django Unchained,2012,R,165 min,"Drama, Western",Quentin Tarantino,"Jamie Foxx,Christoph Waltz,Leonardo DiCaprio,Kerry Washington",8.4,81,1543626
A Million Ways to Die in the West,2014,R,116 min,"Comedy, Western",Seth MacFarlane,"Seth MacFarlane,Charlize Theron,Liam Neeson,Amanda Seyfried",6.1,44,190244
Tombstone,1993,R,130 min,"Biography, Drama, History",George P. Cosmatos,"Kevin Jarre,Kurt Russell,Val Kilmer,Sam Elliott,Bill Paxton",7.8,50,150115
Wind River,2017,R,107 min,"Crime, Drama, Mystery",Taylor Sheridan,"Elizabeth Olsen,Jeremy Renner,Graham Greene,Kelsey Asbille",7.7,73,252340
The Hateful Eight,2015,R,168 min,"Crime, Drama, Mystery",Quentin Tarantino,"Samuel L. Jackson,Kurt Russell,Jennifer Jason Leigh,Walton Goggins",7.8,68,598484
The Power of the Dog,2021,R,126 min,"Drama, Romance, Western",Jane Campion,"Benedict Cumberbatch,Kirsten Dunst,Jesse Plemons,Kodi Smit-McPhee",6.8,89,173647
"The Good, the Bad and the Ugly",1966,R,178 min,"Adventure, Western",Sergio Leone,"Clint Eastwood,Eli Wallach,Lee Van Cleef,Aldo Giuffrè",8.8,90,759274
The Magnificent Seven,2016,PG-13,132 min,"Action, Adventure, Western",Antoine Fuqua,"Denzel Washington,Chris Pratt,Ethan Hawke,Vincent D'Onofrio",6.8,54,212948
The Revenant,2015,R,156 min,"Action, Adventure, Drama",Alejandro G. Iñárritu,"Leonardo DiCaprio,Tom Hardy,Will Poulter,Domhnall Gleeson",8,76,801310
The Last Manhunt,2022,R,103 min,Western,Christian Camargo,"Martin Sensmeier,Mainei Kinimaka,Zahn McClarnon,Lily Gladstone",4.3,,140
Once Upon a Time in the West,1968,PG-13,165 min,Western,Sergio Leone,"Henry Fonda,Charles Bronson,Claudia Cardinale,Jason Robards",8.5,80,329280
Unforgiven,1992,R,130 min,"Drama, Western",Clint Eastwood,"Clint Eastwood,Gene Hackman,Morgan Freeman,Richard Harris",8.2,85,412312
Hell or High Water,II 2016,R,102 min,"Crime, Drama, Thriller",David Mackenzie,"Chris Pine,Ben Foster,Jeff Bridges,Gil Birmingham",7.6,88,231769
