Name,Year,Certificate,Runtime,Genres,Director,Stars,Ratings,Metascore,Votes
Black Panther: Wakanda Forever,2022,PG-13,161 min,"Action, Adventure, Drama",Ryan Coogler,"Letitia Wright,Lupita Nyong'o,Danai Gurira,Winston Duke",7.3,67,89766
Black Adam,2022,PG-13,125 min,"Action, Adventure, Fantasy",Jaume Collet-Serra,"Dwayne Johnson,Aldis Hodge,Pierce Brosnan,Noah Centineo",6.8,41,131655
Enola Holmes 2,2022,PG-13,129 min,"Action, Adventure, Crime",Harry Bradbeer,"Millie Bobby Brown,Henry Cavill,David Thewlis,Louis Partridge",6.8,64,48755
All Quiet on the Western Front,2022,R,148 min,"Action, Drama, War",Edward Berger,"Felix Kammerer,Albrecht Schuch,Aaron Hilmer,Moritz Klaus",7.9,76,67123
Poker Face,2022,,94 min,"Action, Crime, Thriller",Russell Crowe,"Russell Crowe,Liam Hemsworth,RZA,Aden Young",5.1,43,2803
Black Panther,2018,PG-13,134 min,"Action, Adventure, Sci-Fi",Ryan Coogler,"Chadwick Boseman,Michael B. Jordan,Lupita Nyong'o,Danai Gurira",7.3,88,763886
Bullet Train,2022,R,127 min,"Action, Comedy, Thriller",David Leitch,"Brad Pitt,Joey King,Aaron Taylor-Johnson,Brian Tyree Henry",7.3,49,182810
John Wick: Chapter 4,2023,,,"Action, Crime, Thriller",Chad Stahelski,"Keanu Reeves,Donnie Yen,Bill Skarsgård,Laurence Fishburne",,,
Enola Holmes,2020,PG-13,123 min,"Action, Adventure, Crime",Harry Bradbeer,"Millie Bobby Brown,Henry Cavill,Sam Claflin,Helena Bonham Carter",6.6,68,186727
Top Gun: Maverick,2022,PG-13,130 min,"Action, Drama",Joseph Kosinski,"Tom Cruise,Jennifer Connelly,Miles Teller,Val Kilmer",8.4,78,432173
Avatar: The Way of Water,2022,PG-13,190 min,"Action, Adventure, Fantasy",James Cameron,"Zoe Saldana,Kate Winslet,Sigourney Weaver,Sam Worthington",,,
R.I.P.D. 2: Rise of the Damned,2022,PG-13,102 min,"Action, Comedy",Paul Leyden,"Jeffrey Donovan,Rachel Adedeji,Penelope Mitchell,Evlyne Oyedokun",4.5,,1477
The Woman King,2022,PG-13,135 min,"Action, Drama, History",Gina Prince-Bythewood,"Viola Davis,Thuso Mbedu,Lashana Lynch,Sheila Atim",6.7,77,33793
Everything Everywhere All at Once,2022,R,139 min,"Action, Adventure, Comedy",Dan Kwan,"Daniel Scheinert,Michelle Yeoh,Stephanie Hsu,Jamie Lee Curtis,Ke Huy Quan",8.1,81,239632
Thor: Love and Thunder,2022,PG-13,118 min,"Action, Adventure, Comedy",Taika Waititi,"Chris Hemsworth,Natalie Portman,Christian Bale,Tessa Thompson",6.3,57,311944
