Name,Year,Certificate,Runtime,Genres,Director,Stars,Ratings,Metascore,Votes
Disenchanted,2022,PG,119 min,"Animation, Adventure, Comedy",Adam Shankman,"Amy Adams,Patrick Dempsey,Maya Rudolph,Gabriella Baldacchino",5.8,50,8571
Spirited,2022,PG-13,127 min,"Comedy, Family, Musical",Sean Anders,"Will Ferrell,Ryan Reynolds,Octavia Spencer,Patrick Page",6.6,55,8617
Slumberland,2022,PG,117 min,"Adventure, Comedy, Family",Francis Lawrence,"Jason Momoa,Marlow Barkley,Chris O'Dowd,Kyle Chandler",6.7,39,6677
Enchanted,2007,PG,107 min,"Animation, Adventure, Comedy",Kevin Lima,"Amy Adams,Susan Sarandon,James Marsden,Patrick Dempsey",7.1,75,202415
Guillermo del Toro's Pinocchio,II 2022,PG,117 min,"Animation, Drama, Family",Guillermo del Toro,"Mark Gustafson,Gregory Mann,Ewan McGregor,Ron Perlman,Finn Wolfhard",8,85,1038
"Lyle, Lyle, Crocodile",2022,PG,106 min,"Animation, Adventure, Comedy",Josh Gordon,"Will Speck,Javier Bardem,Winslow Fegley,Shawn Mendes,Constance Wu",6.2,51,3013
Sing 2,2021,PG,110 min,"Animation, Adventure, Comedy",Garth Jennings,"Christophe Lourdelet,Matthew McConaughey,Reese Witherspoon,Scarlett Johansson,Tori Kelly",7.4,49,68328
The Little Mermaid,2023,,,"Adventure, Family, Fantasy",Rob Marshall,"Halle Bailey,Jonah Hauer-King,Melissa McCarthy,Javier Bardem",,,
Encanto,2021,PG,102 min,"Animation, Comedy, Family",Jared Bush,"Byron Howard,Charise Castro Smith,Stephanie Beatriz,María Cecilia Botero,John Leguizamo,Mauro Castillo",7.2,75,218905
Pinocchio,I 2022,PG,105 min,"Adventure, Comedy, Drama",Robert Zemeckis,"Joseph Gordon-Levitt,Tom Hanks,Benjamin Evan Ainsworth,Angus Wright",5.1,38,31593
Blue's Big City Adventure,2022,TV-Y,82 min,"Comedy, Family, Musical",Matt Stawski,"Joshua Dela Cruz,Steve Burns,Donovan Patton,Traci Paige Johnson",6.5,,263
The Polar Express,2004,G,100 min,"Animation, Adventure, Comedy",Robert Zemeckis,"Tom Hanks,Chris Coppola,Michael Jeter,Leslie Zemeckis",6.6,61,208463
Roald Dahl's Matilda the Musical,2022,PG,117 min,"Comedy, Drama, Family",Matthew Warchus,"Andrea Riseborough,Emma Thompson,Lashana Lynch,Stephen Graham",5.9,68,294
The Nightmare Before Christmas,1993,PG,76 min,"Animation, Family, Fantasy",Henry Selick,"Danny Elfman,Chris Sarandon,Catherine O'Hara,William Hickey",7.9,82,339627
The Grinch,2018,PG,85 min,"Animation, Comedy, Family",Yarrow Cheney,"Scott Mosier,Benedict Cumberbatch,Cameron Seely,Rashida Jones,Pharrell Williams",6.3,51,71040
Sing,2016,PG,108 min,"Animation, Comedy, Family",Garth Jennings,"Christophe Lourdelet,Matthew McConaughey,Reese Witherspoon,Seth MacFarlane,Scarlett Johansson",7.1,59,171121
Wonka,2023,,,"Adventure, Comedy, Family",Paul King,"Timothée Chalamet,Olivia Colman,Sally Hawkins,Keegan-Michael Key",,,
The Greatest Showman,2017,PG,105 min,"Biography, Drama, Musical",Michael Gracey,"Hugh Jackman,Michelle Williams,Zac Efron,Zendaya",7.5,48,281997
The Lion King,1994,G,88 min,"Animation, Adventure, Drama",Roger Allers,"Rob Minkoff,Matthew Broderick,Jeremy Irons,James Earl Jones,Whoopi Goldberg",8.5,88,1053376
Les Misérables,2012,PG-13,158 min,"Drama, Musical, Romance",Tom Hooper,"Hugh Jackman,Russell Crowe,Anne Hathaway,Amanda Seyfried",7.5,63,330802
La La Land,2016,PG-13,128 min,"Comedy, Drama, Music",Damien Chazelle,"Ryan Gosling,Emma Stone,Rosemarie DeWitt,J.K. Simmons",8,94,585346
Frozen,I 2013,PG,102 min,"Animation, Adventure, Comedy",Chris Buck,"Jennifer Lee,Kristen Bell,Idina Menzel,Jonathan Groff,Josh Gad",7.4,75,624195
The Wizard of Oz,1939,PG,102 min,"Adventure, Family, Fantasy",Victor Fleming,"George Cukor,Mervyn LeRoy,Norman Taurog,Richard Thorpe,King Vidor,Judy Garland,Frank Morgan,Ray Bolger,Bert Lahr",8.1,92,399922
Beauty and the Beast,I 2017,PG,129 min,"Adventure, Family, Fantasy",Bill Condon,"Emma Watson,Dan Stevens,Luke Evans,Josh Gad",7.1,65,309588
Hamilton,2020,PG-13,160 min,"Biography, Drama, History",Thomas Kail,"Lin-Manuel Miranda,Phillipa Soo,Leslie Odom Jr.,Renée Elise Goldsberry",8.4,90,94305
