Name,Year,Certificate,Runtime,Genres,Director,Stars,Ratings,Metascore,Votes
Disenchanted,2022,PG,119 min,"Animation, Adventure, Comedy",Adam Shankman,"Amy Adams,Patrick Dempsey,Maya Rudolph,Gabriella Baldacchino",5.8,50,8571
Falling for Christmas,2022,TV-PG,93 min,"Comedy, Romance",Janeen Damian,"Lindsay Lohan,Chord Overstreet,George Young,Jack Wagner",5.3,39,10642
Bones and All,2022,R,131 min,"Drama, Horror, Romance",Luca Guadagnino,"Timothée Chalamet,Taylor Russell,Mark Rylance,Kendle Coffey",7.3,72,2426
Enchanted,2007,PG,107 min,"Animation, Adventure, Comedy",Kevin Lima,"Amy Adams,Susan Sarandon,James Marsden,Patrick Dempsey",7.1,75,202415
My Policeman,2022,R,113 min,"Drama, Romance",Michael Grandage,"Harry Styles,Emma Corrin,Gina McKee,Linus Roache",6.5,50,10990
Ticket to Paradise,2022,PG-13,104 min,"Comedy, Romance",Ol Parker,"George Clooney,Sean Lynch,Julia Roberts,Arielle Carver-O'Neill",6.2,50,24807
Thor: Love and Thunder,2022,PG-13,118 min,"Action, Adventure, Comedy",Taika Waititi,"Chris Hemsworth,Natalie Portman,Christian Bale,Tessa Thompson",6.3,57,311944
Emily,2022,R,130 min,"Biography, Drama, Romance",Frances O'Connor,"Emma Mackey,Oliver Jackson-Cohen,Fionn Whitehead,Alexandra Dowling",6.9,77,1431
Empire of Light,2022,R,119 min,"Drama, Romance",Sam Mendes,"Olivia Colman,Micheal Ward,Colin Firth,Toby Jones",6.5,58,647
Christmas with You,2022,TV-PG,89 min,"Comedy, Family, Romance",Gabriela Tagliavini,"Aimee Garcia,Freddie Prinze Jr.,Deja Monique Cruz,Gabriel Sloyer",5.6,32,2225
Blonde,2022,NC-17,167 min,"Biography, Drama, Romance",Andrew Dominik,"Ana de Armas,Lily Fisher,Julianne Nicholson,Tygh Runyan",5.5,50,49595
The Lost City,2022,PG-13,112 min,"Action, Adventure, Comedy",Aaron Nee,"Adam Nee,Sandra Bullock,Channing Tatum,Daniel Radcliffe,Da'Vine Joy Randolph",6.1,60,115882
Elf,2003,PG,97 min,"Adventure, Comedy, Family",Jon Favreau,"Will Ferrell,James Caan,Bob Newhart,Zooey Deschanel",7,64,267781
The Terminal,2004,PG-13,128 min,"Comedy, Drama, Romance",Steven Spielberg,"Tom Hanks,Catherine Zeta-Jones,Chi McBride,Stanley Tucci",7.4,55,460040
Barbie,2023,,,"Adventure, Comedy, Fantasy",Greta Gerwig,"Margot Robbie,Ryan Gosling,Will Ferrell,Emma Mackey",,,
Titanic,1997,PG-13,194 min,"Drama, Romance",James Cameron,"Leonardo DiCaprio,Kate Winslet,Billy Zane,Kathy Bates",7.9,75,1167589
Three Thousand Years of Longing,2022,R,108 min,"Drama, Fantasy, Romance",George Miller,"Tilda Swinton,Idris Elba,Erdil Yasaroglu,Sarah Houbolt",6.7,60,29568
Decision to Leave,2022,,139 min,"Crime, Drama, Mystery",Park Chan-wook,"Park Hae-il,Tang Wei,Lee Jung-hyun,Go Kyung-Pyo",7.3,84,15954
Puss in Boots: The Last Wish,2022,PG,100 min,"Animation, Adventure, Comedy",Joel Crawford,"Januel Mercado,Antonio Banderas,Salma Hayek,Harvey Guillén,Florence Pugh",,,
The Little Rascals,1994,PG,82 min,"Comedy, Family, Romance",Penelope Spheeris,"Travis Tedford,Bug Hall,Brittany Ashton Holmes,Kevin Jamal Woods",6.3,45,50786
Love Actually,2003,R,135 min,"Comedy, Drama, Romance",Richard Curtis,"Hugh Grant,Martine McCutcheon,Liam Neeson,Laura Linney",7.6,55,480671
Dracula,1992,R,128 min,"Drama, Fantasy, Horror",Francis Ford Coppola,"Gary Oldman,Winona Ryder,Anthony Hopkins,Keanu Reeves",7.4,57,219525
Licorice Pizza,2021,R,133 min,"Comedy, Drama, Romance",Paul Thomas Anderson,"Alana Haim,Cooper Hoffman,Sean Penn,Tom Waits",7.2,90,112848
The Princess Bride,1987,PG,98 min,"Adventure, Family, Fantasy",Rob Reiner,"Cary Elwes,Mandy Patinkin,Robin Wright,Chris Sarandon",8,77,427741
Forrest Gump,1994,PG-13,142 min,"Drama, Romance",Robert Zemeckis,"Tom Hanks,Robin Wright,Gary Sinise,Sally Field",8.8,82,2064824
The Little Mermaid,2023,,,"Adventure, Family, Fantasy",Rob Marshall,"Halle Bailey,Jonah Hauer-King,Melissa McCarthy,Javier Bardem",,,
Bros,I 2022,R,115 min,"Comedy, Romance",Nicholas Stoller,"Billy Eichner,Luke Macfarlane,Guy Branum,Miss Lawrence",6.4,72,20001
Fifty Shades of Grey,2015,R,125 min,"Drama, Romance, Thriller",Sam Taylor-Johnson,"Dakota Johnson,Jamie Dornan,Jennifer Ehle,Eloise Mumford",4.1,46,320914
Willow,1988,PG,126 min,"Action, Adventure, Drama",Ron Howard,"Val Kilmer,Joanne Whalley,Warwick Davis,Jean Marsh",7.2,47,115839
