Name,Year,Certificate,Runtime,Genres,Director,Stars,Ratings,Metascore,Votes
Tales of the Jedi,2022– ,TV-PG,15 min,"Animation, Short, Action",Corey Burton,"Ashley Eckstein,Dee Bradley Baker,Ian McDiarmid",8.3,,17517
Abbott Elementary,2021– ,TV-PG,22 min,"Short, Comedy",Quinta Brunson,"Tyler James Williams,Janelle James,Lisa Ann Walter",8.2,,16041
Zootopia+,2022– ,TV-PG,,"Animation, Short, Adventure",John Lavelle,"Katie Lowes,Joey Lawrence,Angel Parker",6.8,,2033
Hotel Desire,2011,TV-MA,38 min,"Short, Drama, Romance",Sergej Moya,"Saralisa Volm,Clemens Schick,Jan-Gregor Kremp,Herbert Knaup",5.6,,3431
"Love, Death & Robots",2019– ,TV-MA,15 min,"Animation, Short, Action",Fred Tatasciore,"Scott Whyte,Nolan North,Noshir Dalal",8.4,,168508
Lopez vs. Lopez,2022– ,TV-14,22 min,"Short, Comedy, Drama",George Lopez,"Mayan Lopez,Matt Shively,Al Madrigal",5.4,,383
Family Reunion,2019–2022,TV-PG,28 min,"Short, Comedy, Family",Talia Jackson,"Tia Mowry-Hardrict,Anthony Alabi,Cameron J. Wright",6.5,,2984
Transformers: Earthspark,2022– ,TV-Y7,23 min,"Animation, Short, Action",Kathreen Khavari,"Sydney Mikayla,Danny Pudi,Zeno Robinson",5.7,,289
Black Panther: Origins,2020,,,"Short, Action, Adventure",Jamin Thompson,"Jamin Thompson,Kristina Jimenez,Tevon Plunkett,Tierney Dale",5.3,,576
Over the Garden Wall,2014,TV-PG,22 min,"Animation, Short, Adventure",Elijah Wood,"Collin Dean,Melanie Lynskey,Christopher Lloyd",8.8,,56996
The Cuphead Show!,2022– ,TV-Y7,12 min,"Animation, Short, Action",Tru Valentino,"Frank Todaro,Joe Hanna,David Wasson",7.4,,7875
Kenobi: A Star Wars Story,2019,,19 min,"Short, Action, Adventure",Jason Satterlund,"Jamie Costa,Tommy Snider,Maxine Phoenix,Audie Rick",7,,14310
Bob Hearts Abishola,2019– ,TV-PG,21 min,"Short, Comedy, Romance",Billy Gardell,"Folake Olowofoyeku,Christine Ebersole,Gina Yashere",6.9,,4272
Boss Bitch Fight Challenge,2020 Video,,5 min,"Short, Action",Zoë Bell,"Zoë Bell,Lucy Lawless,Tara Macken,Drew Barrymore",7.8,,1133
XXX Lust,2020 Video,,,"Short, Music",Bruce Mercury,"Raffy Hdz,Chandramogli Madem,Bruce Mercury",6.4,,632
Home Movie: The Princess Bride,2020– ,TV-14,,"Short, Comedy, Fantasy",Rob Reiner,"Thomas Lennon,Zazie Beetz,Stephen Merchant",7.7,,1324
I Am Groot,2022– ,TV-PG,4 min,"Animation, Short, Action",Vin Diesel,"Fred Tatasciore,Kaitlyn Robrock,Terri Douglas",6.7,,27456
Laura Hasn't Slept,2020,,11 min,"Short, Horror",Parker Finn,"Caitlin Stasey,Lew Temple",6.7,,209
State of Alabama vs. Brittany Smith,2022,PG-13,40 min,"Documentary, Short, Crime",Ryan White,"Dawn Hendricks,Chris McCallie,Ramona McCallie,Paige Painter",6,,387
Phineas and Ferb,2007– ,TV-G,15 min,"Animation, Short, Action",Vincent Martella,"Thomas Brodie-Sangster,Dan Povenmire,Ashley Tisdale",8.1,,47115
The Amazing World of Gumball,2011–2019,TV-Y7-FV,11 min,"Animation, Short, Adventure",Dan Russell,"Teresa Gallagher,Kerry Shale,Kyla Rae Kowalewski",8.3,,32545
Father of the Bride Part 3 (ish),2020,Not Rated,26 min,"Short, Family",Nancy Meyers,"Diane Keaton,Kieran Culkin,Kimberly Williams-Paisley,Florence Pugh",6.9,,1228
Terrifier,2011,Not Rated,20 min,"Short, Horror",Damien Leone,"Marie Maser,Mike Giannelli,Michael Chmiel,Daniel Rodas",6.7,,1582
Amphibia,2019–2022,TV-Y7,23 min,"Animation, Short, Action",Brenda Song,"Justin Felbinger,Bill Farmer,Amanda Leighton",8.2,,6310
Gabby's Dollhouse,2021– ,TV-Y,24 min,"Animation, Short, Adventure",Laila Lockhart Kraner,"Tucker Chandler,Donovan Patton,Sainty Nelsen",7.1,,475
Most Dangerous Game,2020,TV-MA,7 min,"Short, Action, Thriller",Liam Hemsworth,"Sarah Gadon,Christoph Waltz,Zach Cherry",6.6,,11835
Robot Chicken,2001– ,TV-14,11 min,"Animation, Short, Adventure",Seth Green,"Matthew Senreich,Breckin Meyer,Tom Root",7.7,,43627
By the Lake,2013 Video,,,Short,David Entz,"Angela,David Entz",7.9,,97
Teen Titans Go!,2013– ,TV-PG,10 min,"Animation, Short, Action",Greg Cipes,"Khary Payton,Scott Menville,Tara Strong",5.4,,21773
Oats Studios,2017– ,TV-MA,20 min,"Short, Horror, Sci-Fi",Sigourney Weaver,"Eugene Khumbanyiwa,Robert Hobbs,Carly Pope",6.4,,2331
Bee and PuppyCat,2013– ,TV-PG,7 min,"Animation, Short, Action",Allyn Rachel,"Alexander James Rodriguez,Kent Osborne,Ashly Burch",8.2,,2772
Weird: The Al Yankovic Story,2010 Video,TV-MA,3 min,"Short, Biography, Comedy",Eric Appel,"Aaron Paul,Olivia Wilde,Mary Steenburgen,Gary Cole",8.3,,543
The Loud House,2014– ,TV-Y7,22 min,"Animation, Short, Adventure",Grey Griffin,"Lara Jill Miller,Jessica DiCicco,Liliana Mumy",7,,6759
Man vs. Bee,2022– ,TV-PG,,"Short, Comedy, Family",Rowan Atkinson,"Pino Maiello,Claudie Blakley,Jing Lusi",6.7,,27988
The Sandman,2020 Podcast Series,,,"Short, Drama, Fantasy",Neil Gaiman,"James McAvoy,Michael Sheen,Karen Bartke",9.4,,1478
Tom and Jerry,1940–1968,TV-G,8 min,"Animation, Short, Adventure",Mel Blanc,"William Hanna,June Foray,Harry Lang",9,,5508
A Charlie Brown Thanksgiving,1973 TV Short,TV-G,25 min,"Animation, Short, Comedy",Bill Melendez,"Phil Roman,Todd Barbee,Robin Kohn,Stephen Shea,Hilary Momberger-Powers",7.7,,11028
Smiling Friends,2020– ,TV-MA,12 min,"Animation, Short, Comedy",Michael Cusack,"Zach Hadel,Marc M.,Mick Lauer",8.5,,9300
Thomas & Friends,1984–2021,TV-Y,11 min,"Animation, Short, Adventure",Michael Angelis,"Keith Wickham,Michael Brandon,Kerry Shale",6.5,,5324
Star vs. the Forces of Evil,2015–2019,TV-Y7,22 min,"Animation, Short, Action",Eden Sher,"Adam McArthur,Grey Griffin,Daron Nefcy",8,,15445
Judy Justice,2021– ,TV-14,,"Short, Crime, Drama",Kevin Rasco,"Judy Sheindlin,Whitney Kumar,Sarah Rose",7.1,,3212
Zen - Grogu and Dust Bunnies,2022,,3 min,"Animation, Short, Sci-Fi",Katsuya Kondô,,5.7,,802
All Too Well: The Short Film,2021,PG-13,10 min,"Short, Drama, Music",Taylor Swift,"Sadie Sink,Dylan O'Brien,Taylor Swift,Shawn Levy",8.4,,13415
"As Above, So Below: The Underworld of 'John Wick'",2017 Video,,5 min,"Documentary, Short",Josh Oreck,"Basil Iwanyk,Keanu Reeves,Chad Stahelski",7.7,,14185
Craig of the Creek,2018– ,TV-Y7,30 min,"Animation, Short, Adventure",Tyler James Nathan,"Billy Rosemberg,Philip Solomon,Michael Croner",7.4,,2610
Threat Level Midnight: The Movie,2019 TV Short,TV-14,25 min,"Short, Action, Comedy",Tucker Gates,"Steve Carell,Rainn Wilson,John Krasinski,Jenna Fischer",9.6,,8176
The Boys Presents: Diabolical,2022– ,TV-MA,14 min,"Animation, Short, Action",Grey Griffin,"Chris Diamantopoulos,Ben Schwartz,Antony Starr",6.9,,13008
Frosty the Snowman,1969 TV Short,TV-G,25 min,"Animation, Short, Comedy",Jules Bass,"Arthur Rankin Jr.,Jackie Vernon,Billy De Wolfe,Jimmy Durante,Paul Frees",7.3,,18822
Superman/Shazam!: The Return of Black Adam,2010 Video,PG-13,25 min,"Animation, Short, Action",Joaquim Dos Santos,"Zach Callison,James Garner,Josh Keaton,Danica McKellar",7,,8497
The 9th Circle,2008,Not Rated,11 min,"Short, Horror",Damien Leone,"Kayla Lian,Mike Giannelli,Anna Maliere,Eric Diez",5.5,,455
