Name,Year,Certificate,Runtime,Genres,Director,Stars,Ratings,Metascore,Votes
All Quiet on the Western Front,2022,R,148 min,"Action, Drama, War",Edward Berger,"Felix Kammerer,Albrecht Schuch,Aaron Hilmer,Moritz Klaus",7.9,76,67123
Medieval,2022,R,126 min,"Action, Drama, History",Petr Jákl,"Ben Foster,Sophie Lowe,Michael Caine,Til Schweiger",5.9,46,4983
Devotion,II 2022,PG-13,138 min,"Action, Drama, War",J.D. Dillard,"Jonathan Majors,Glen Powell,Christina Jackson,Thomas Sadoski",6.6,66,574
The Expendables 4,2023,,,"Action, Adventure, Thriller",Scott Waugh,"Jason Statham,50 Cent,Megan Fox,Dolph Lundgren",,,
All Quiet on the Western Front,1930,Passed,152 min,"Drama, War",Lewis Milestone,"Lew Ayres,Louis Wolheim,John Wray,Arnold Lucy",8.1,91,62977
Inglourious Basterds,2009,R,153 min,"Adventure, Drama, War",Quentin Tarantino,"Brad Pitt,Diane Kruger,Eli Roth,Mélanie Laurent",8.3,69,1440073
1917,2019,R,119 min,"Action, Drama, War",Sam Mendes,"Dean-Charles Chapman,George MacKay,Daniel Mays,Colin Firth",8.2,78,584177
Saving Private Ryan,1998,R,169 min,"Drama, War",Steven Spielberg,"Tom Hanks,Matt Damon,Tom Sizemore,Edward Burns",8.6,91,1384632
Kingdom of Heaven,2005,R,144 min,"Action, Adventure, Drama",Ridley Scott,"Orlando Bloom,Eva Green,Liam Neeson,Martin Hancock",7.2,63,290022
Come and See,1985,Not Rated,142 min,"Drama, Thriller, War",Elem Klimov,"Aleksey Kravchenko,Olga Mironova,Liubomiras Laucevicius,Vladas Bagdonas",8.4,,80148
The Greatest Beer Run Ever,2022,R,126 min,"Adventure, Comedy, Drama",Peter Farrelly,"Zac Efron,Russell Crowe,Jake Picking,Kyle Allen",6.8,39,15494
Brothers,I 2009,R,105 min,"Drama, Thriller, War",Jim Sheridan,"Jake Gyllenhaal,Natalie Portman,Tobey Maguire,Sam Shepard",7.1,58,128656
Hacksaw Ridge,2016,R,139 min,"Biography, Drama, History",Mel Gibson,"Andrew Garfield,Sam Worthington,Luke Bracey,Teresa Palmer",8.1,71,523653
Full Metal Jacket,1987,R,116 min,"Drama, War",Stanley Kubrick,"Matthew Modine,R. Lee Ermey,Vincent D'Onofrio,Adam Baldwin",8.3,76,741288
Fury,2014,R,134 min,"Action, Drama, War",David Ayer,"Brad Pitt,Shia LaBeouf,Logan Lerman,Michael Peña",7.5,64,490568
Jojo Rabbit,2019,PG-13,108 min,"Comedy, Drama, War",Taika Waititi,"Roman Griffin Davis,Thomasin McKenzie,Scarlett Johansson,Taika Waititi",7.9,58,387468
Dunkirk,2017,PG-13,106 min,"Action, Drama, History",Christopher Nolan,"Fionn Whitehead,Barry Keoghan,Mark Rylance,Tom Hardy",7.8,94,655759
Apocalypse Now,1979,R,147 min,"Drama, Mystery, War",Francis Ford Coppola,"Martin Sheen,Marlon Brando,Robert Duvall,Frederic Forrest",8.5,94,665924
Malena,2000,R,108 min,"Drama, Romance, War",Giuseppe Tornatore,"Monica Bellucci,Giuseppe Sulfaro,Luciano Federico,Matilde Piana",7.4,54,103577
Braveheart,1995,R,178 min,"Biography, Drama, History",Mel Gibson,"Mel Gibson,Sophie Marceau,Patrick McGoohan,Angus Macfadyen",8.4,68,1035516
Pan's Labyrinth,2006,R,118 min,"Drama, Fantasy, War",Guillermo del Toro,"Ivana Baquero,Ariadna Gil,Sergi López,Maribel Verdú",8.2,98,668571
The Forgotten Battle,2020,TV-MA,124 min,"Drama, War",Matthijs van Heijningen Jr.,"Gijs Blom,Jamie Flatters,Susan Radder,Jan Bijvoet",7.1,,30027
Platoon,1986,R,120 min,"Drama, War",Oliver Stone,"Charlie Sheen,Tom Berenger,Willem Dafoe,Keith David",8.1,92,414676
Wonder Woman,2017,PG-13,141 min,"Action, Adventure, Fantasy",Patty Jenkins,"Gal Gadot,Chris Pine,Robin Wright,Lucy Davis",7.4,76,657265
The King,I 2019,R,140 min,"Biography, Drama, History",David Michôd,"Tom Glynn-Carney,Gábor Czap,Tom Fisher,Edward Ashley",7.3,62,130168
Life Is Beautiful,1997,PG-13,116 min,"Comedy, Drama, Romance",Roberto Benigni,"Roberto Benigni,Nicoletta Braschi,Giorgio Cantarini,Giustino Durano",8.6,59,692668
The Pianist,2002,R,150 min,"Biography, Drama, Music",Roman Polanski,"Adrien Brody,Thomas Kretschmann,Frank Finlay,Emilia Fox",8.5,85,828407
The Imitation Game,2014,PG-13,114 min,"Biography, Drama, Thriller",Morten Tyldum,"Benedict Cumberbatch,Keira Knightley,Matthew Goode,Allen Leech",8,71,767908
War Horse,2011,PG-13,146 min,"Action, Adventure, Drama",Steven Spielberg,"Jeremy Irvine,Emily Watson,David Thewlis,Benedict Cumberbatch",7.2,72,158416
Atonement,2007,R,123 min,"Drama, Mystery, Romance",Joe Wright,"Keira Knightley,James McAvoy,Brenda Blethyn,Saoirse Ronan",7.8,85,279325
The Last of the Mohicans,1992,R,112 min,"Action, Adventure, Drama",Michael Mann,"Daniel Day-Lewis,Madeleine Stowe,Russell Means,Eric Schweig",7.7,76,171491
Casablanca,1942,PG,102 min,"Drama, Romance, War",Michael Curtiz,"Humphrey Bogart,Ingrid Bergman,Paul Henreid,Claude Rains",8.5,100,570685
Operation Mincemeat,2021,PG-13,128 min,"Drama, War",John Madden,"Colin Firth,Matthew Macfadyen,Kelly Macdonald,Rufus Wright",6.6,65,24532
Zero Dark Thirty,2012,R,157 min,"Drama, History, Thriller",Kathryn Bigelow,"Jessica Chastain,Joel Edgerton,Chris Pratt,Mark Strong",7.4,95,302043
The Hunger Games: The Ballad of Songbirds and Snakes,2023,,,"Action, Adventure, Drama",Francis Lawrence,"Viola Davis,Hunter Schafer,Peter Dinklage,Burn Gorman",,,
Legends of the Fall,1994,R,133 min,"Drama, Romance, War",Edward Zwick,"Brad Pitt,Anthony Hopkins,Aidan Quinn,Julia Ormond",7.5,45,167812
Tropic Thunder,2008,R,107 min,"Action, Comedy, War",Ben Stiller,"Ben Stiller,Jack Black,Robert Downey Jr.,Jeff Kahn",7,71,416793
American Sniper,2014,R,133 min,"Action, Biography, Drama",Clint Eastwood,"Bradley Cooper,Sienna Miller,Kyle Gallner,Cole Konis",7.3,72,488489
13 Hours,2016,R,144 min,"Action, Drama, History",Michael Bay,"John Krasinski,Pablo Schreiber,James Badge Dale,David Denman",7.3,48,144143
Downfall,2004,R,156 min,"Biography, Drama, History",Oliver Hirschbiegel,"Bruno Ganz,Alexandra Maria Lara,Ulrich Matthes,Juliane Köhler",8.2,82,356230
Black Hawk Down,2001,R,144 min,"Action, Drama, History",Ridley Scott,"Josh Hartnett,Ewan McGregor,Tom Sizemore,Eric Bana",7.7,74,397517
Resistance,2020,R,120 min,"Biography, Drama, History",Jonathan Jakubowicz,"Jesse Eisenberg,Clémence Poésy,Matthias Schweighöfer,Félix Moati",6.4,53,7381
The Sum of All Fears,2002,PG-13,124 min,"Action, Drama, Thriller",Phil Alden Robinson,"Ben Affleck,Morgan Freeman,Ian Mongrain,Russell Bobbitt",6.4,45,117507
The Deer Hunter,1978,R,183 min,"Drama, War",Michael Cimino,"Robert De Niro,Christopher Walken,John Cazale,John Savage",8.1,86,339825
The Patriot,2000,R,165 min,"Action, Drama, History",Roland Emmerich,"Mel Gibson,Heath Ledger,Joely Richardson,Jason Isaacs",7.2,63,276324
Grave of the Fireflies,1988,Not Rated,89 min,"Animation, Drama, War",Isao Takahata,"Tsutomu Tatsumi,Ayano Shiraishi,Akemi Yamaguchi,Yoshiko Shinohara",8.5,94,276848
Pearl Harbor,2001,PG-13,183 min,"Action, Drama, History",Michael Bay,"Ben Affleck,Kate Beckinsale,Josh Hartnett,William Lee Scott",6.2,44,333867
The Boy in the Striped Pajamas,2008,PG-13,94 min,"Drama, War",Mark Herman,"Asa Butterfield,David Thewlis,Rupert Friend,Zac Mattoon O'Brien",7.7,55,219930
Gone with the Wind,1939,Passed,238 min,"Drama, Romance, War",Victor Fleming,"George Cukor,Sam Wood,Clark Gable,Vivien Leigh,Thomas Mitchell,Barbara O'Neil",8.2,97,315989
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,PG,95 min,"Comedy, War",Stanley Kubrick,"Peter Sellers,George C. Scott,Sterling Hayden,Keenan Wynn",8.4,97,490809
